datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,181,29
2019-01-01 07:00:00,333,266
2019-01-01 08:00:00,237,226
2019-01-01 09:00:00,243,417
2019-01-01 10:00:00,188,594
2019-01-01 11:00:00,233,868
2019-01-01 12:00:00,221,783
2019-01-01 13:00:00,317,721
2019-01-01 14:00:00,417,766
2019-01-01 15:00:00,442,687
2019-01-01 16:00:00,469,682
2019-01-01 17:00:00,448,921
2019-01-01 18:00:00,566,772
2019-01-01 19:00:00,534,644
2019-01-01 20:00:00,615,586
2019-01-01 21:00:00,577,442
2019-01-01 22:00:00,18,6
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,0,0
2019-01-02 05:00:00,115,735
2019-01-02 06:00:00,328,1865
2019-01-02 07:00:00,468,2532
2019-01-02 08:00:00,371,1822
2019-01-02 09:00:00,410,1584
2019-01-02 10:00:00,425,1843
2019-01-02 11:00:00,481,1671
2019-01-02 12:00:00,528,1677
2019-01-02 13:00:00,718,1713
2019-01-02 14:00:00,951,1426
2019-01-02 15:00:00,1451,1046
2019-01-02 16:00:00,1704,1345
2019-01-02 17:00:00,2010,1256
2019-01-02 18:00:00,2411,975
2019-01-02 19:00:00,2061,1681
2019-01-02 20:00:00,1910,1215
2019-01-02 21:00:00,1680,1132
2019-01-02 22:00:00,25,16
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,1,0
2019-01-03 05:00:00,210,951
2019-01-03 06:00:00,766,1806
2019-01-03 07:00:00,1093,2677
2019-01-03 08:00:00,886,2451
2019-01-03 09:00:00,694,2371
2019-01-03 10:00:00,761,2248
2019-01-03 11:00:00,772,2055
2019-01-03 12:00:00,917,1973
2019-01-03 13:00:00,1062,1990
2019-01-03 14:00:00,1278,1763
2019-01-03 15:00:00,1840,1229
2019-01-03 16:00:00,2190,1313
2019-01-03 17:00:00,2520,1414
2019-01-03 18:00:00,2513,1505
2019-01-03 19:00:00,2509,1491
2019-01-03 20:00:00,2198,1322
2019-01-03 21:00:00,1947,949
2019-01-03 22:00:00,48,33
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,0,0
2019-01-04 05:00:00,208,693
2019-01-04 06:00:00,739,1817
2019-01-04 07:00:00,1069,2601
2019-01-04 08:00:00,853,2213
2019-01-04 09:00:00,822,2286
2019-01-04 10:00:00,869,2389
2019-01-04 11:00:00,905,2298
2019-01-04 12:00:00,1017,1961
2019-01-04 13:00:00,1130,2424
2019-01-04 14:00:00,1487,1897
2019-01-04 15:00:00,2059,1370
2019-01-04 16:00:00,2476,1535
2019-01-04 17:00:00,2648,1425
2019-01-04 18:00:00,2673,1784
2019-01-04 19:00:00,2549,1608
2019-01-04 20:00:00,2418,1460
2019-01-04 21:00:00,2174,1083
2019-01-04 22:00:00,310,90
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,1,0
2019-01-05 05:00:00,174,322
2019-01-05 06:00:00,535,919
2019-01-05 07:00:00,815,964
2019-01-05 08:00:00,655,1148
2019-01-05 09:00:00,758,1494
2019-01-05 10:00:00,778,1503
2019-01-05 11:00:00,868,1590
2019-01-05 12:00:00,1039,1626
2019-01-05 13:00:00,1139,1639
2019-01-05 14:00:00,1245,1419
2019-01-05 15:00:00,1483,1108
2019-01-05 16:00:00,1799,1266
2019-01-05 17:00:00,1548,1162
2019-01-05 18:00:00,1485,1219
2019-01-05 19:00:00,1501,908
2019-01-05 20:00:00,1099,769
2019-01-05 21:00:00,1122,458
2019-01-05 22:00:00,106,10
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,1,0
2019-01-06 05:00:00,63,139
2019-01-06 06:00:00,222,479
2019-01-06 07:00:00,267,451
2019-01-06 08:00:00,303,667
2019-01-06 09:00:00,378,1196
2019-01-06 10:00:00,374,1208
2019-01-06 11:00:00,452,1394
2019-01-06 12:00:00,536,1228
2019-01-06 13:00:00,650,1235
2019-01-06 14:00:00,766,990
2019-01-06 15:00:00,910,989
2019-01-06 16:00:00,1003,941
2019-01-06 17:00:00,867,1125
2019-01-06 18:00:00,1118,877
2019-01-06 19:00:00,1271,838
2019-01-06 20:00:00,1076,682
2019-01-06 21:00:00,1216,452
2019-01-06 22:00:00,28,12
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,1,0
2019-01-07 05:00:00,121,850
2019-01-07 06:00:00,434,2315
2019-01-07 07:00:00,636,2857
2019-01-07 08:00:00,538,2481
2019-01-07 09:00:00,678,2307
2019-01-07 10:00:00,687,2527
2019-01-07 11:00:00,829,2354
2019-01-07 12:00:00,867,2263
2019-01-07 13:00:00,1090,1966
2019-01-07 14:00:00,1445,1826
2019-01-07 15:00:00,1894,1490
2019-01-07 16:00:00,2402,1239
2019-01-07 17:00:00,2642,1639
2019-01-07 18:00:00,2367,1504
2019-01-07 19:00:00,2770,1619
2019-01-07 20:00:00,2427,1586
2019-01-07 21:00:00,2049,1045
2019-01-07 22:00:00,96,33
2019-01-07 23:00:00,0,0
