datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,74,43
2019-01-01 07:00:00,173,148
2019-01-01 08:00:00,150,190
2019-01-01 09:00:00,179,189
2019-01-01 10:00:00,310,228
2019-01-01 11:00:00,371,342
2019-01-01 12:00:00,380,428
2019-01-01 13:00:00,396,352
2019-01-01 14:00:00,434,371
2019-01-01 15:00:00,439,473
2019-01-01 16:00:00,458,407
2019-01-01 17:00:00,364,663
2019-01-01 18:00:00,346,598
2019-01-01 19:00:00,284,618
2019-01-01 20:00:00,269,676
2019-01-01 21:00:00,176,455
2019-01-01 22:00:00,23,67
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,8,25
2019-01-02 05:00:00,190,367
2019-01-02 06:00:00,453,724
2019-01-02 07:00:00,768,1237
2019-01-02 08:00:00,678,960
2019-01-02 09:00:00,537,794
2019-01-02 10:00:00,578,713
2019-01-02 11:00:00,593,803
2019-01-02 12:00:00,646,812
2019-01-02 13:00:00,647,852
2019-01-02 14:00:00,754,905
2019-01-02 15:00:00,773,983
2019-01-02 16:00:00,744,991
2019-01-02 17:00:00,1103,1076
2019-01-02 18:00:00,1103,1091
2019-01-02 19:00:00,845,1449
2019-01-02 20:00:00,625,1319
2019-01-02 21:00:00,419,896
2019-01-02 22:00:00,109,97
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,26,16
2019-01-03 05:00:00,263,473
2019-01-03 06:00:00,842,948
2019-01-03 07:00:00,1289,1620
2019-01-03 08:00:00,1083,1574
2019-01-03 09:00:00,845,1299
2019-01-03 10:00:00,862,1112
2019-01-03 11:00:00,821,978
2019-01-03 12:00:00,761,974
2019-01-03 13:00:00,838,1007
2019-01-03 14:00:00,887,939
2019-01-03 15:00:00,955,1091
2019-01-03 16:00:00,988,1041
2019-01-03 17:00:00,1382,1275
2019-01-03 18:00:00,1222,1585
2019-01-03 19:00:00,1023,1398
2019-01-03 20:00:00,807,1344
2019-01-03 21:00:00,493,888
2019-01-03 22:00:00,110,95
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,0,0
2019-01-04 05:00:00,264,378
2019-01-04 06:00:00,787,992
2019-01-04 07:00:00,1384,1611
2019-01-04 08:00:00,1182,1504
2019-01-04 09:00:00,863,1280
2019-01-04 10:00:00,823,1118
2019-01-04 11:00:00,850,991
2019-01-04 12:00:00,892,969
2019-01-04 13:00:00,946,1194
2019-01-04 14:00:00,968,1015
2019-01-04 15:00:00,1086,1090
2019-01-04 16:00:00,1119,1230
2019-01-04 17:00:00,1424,1202
2019-01-04 18:00:00,1415,1444
2019-01-04 19:00:00,1171,1301
2019-01-04 20:00:00,882,1350
2019-01-04 21:00:00,616,954
2019-01-04 22:00:00,164,154
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,15,2
2019-01-05 05:00:00,154,175
2019-01-05 06:00:00,521,505
2019-01-05 07:00:00,689,772
2019-01-05 08:00:00,665,720
2019-01-05 09:00:00,735,747
2019-01-05 10:00:00,762,695
2019-01-05 11:00:00,802,627
2019-01-05 12:00:00,938,793
2019-01-05 13:00:00,834,825
2019-01-05 14:00:00,881,754
2019-01-05 15:00:00,928,792
2019-01-05 16:00:00,872,841
2019-01-05 17:00:00,915,898
2019-01-05 18:00:00,800,926
2019-01-05 19:00:00,564,935
2019-01-05 20:00:00,513,765
2019-01-05 21:00:00,318,495
2019-01-05 22:00:00,55,79
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,5,1
2019-01-06 05:00:00,84,69
2019-01-06 06:00:00,245,245
2019-01-06 07:00:00,308,293
2019-01-06 08:00:00,390,356
2019-01-06 09:00:00,498,449
2019-01-06 10:00:00,591,439
2019-01-06 11:00:00,612,513
2019-01-06 12:00:00,692,566
2019-01-06 13:00:00,700,644
2019-01-06 14:00:00,688,647
2019-01-06 15:00:00,713,662
2019-01-06 16:00:00,614,769
2019-01-06 17:00:00,586,735
2019-01-06 18:00:00,585,823
2019-01-06 19:00:00,467,874
2019-01-06 20:00:00,337,865
2019-01-06 21:00:00,279,648
2019-01-06 22:00:00,41,57
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,22,17
2019-01-07 05:00:00,282,511
2019-01-07 06:00:00,936,907
2019-01-07 07:00:00,1512,1513
2019-01-07 08:00:00,1344,1386
2019-01-07 09:00:00,916,1469
2019-01-07 10:00:00,816,1568
2019-01-07 11:00:00,778,1036
2019-01-07 12:00:00,849,1194
2019-01-07 13:00:00,950,1060
2019-01-07 14:00:00,877,1152
2019-01-07 15:00:00,1007,1207
2019-01-07 16:00:00,1082,1193
2019-01-07 17:00:00,1394,1340
2019-01-07 18:00:00,1358,1755
2019-01-07 19:00:00,1127,1673
2019-01-07 20:00:00,981,1614
2019-01-07 21:00:00,640,1036
2019-01-07 22:00:00,138,148
2019-01-07 23:00:00,0,0
2019-01-08 04:00:00,19,16
2019-01-08 05:00:00,339,442
2019-01-08 06:00:00,1105,1081
2019-01-08 07:00:00,1781,1576
