datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,53,5
2019-01-01 07:00:00,96,90
2019-01-01 08:00:00,77,65
2019-01-01 09:00:00,52,68
2019-01-01 10:00:00,61,80
2019-01-01 11:00:00,79,90
2019-01-01 12:00:00,58,131
2019-01-01 13:00:00,83,110
2019-01-01 14:00:00,97,100
2019-01-01 15:00:00,71,134
2019-01-01 16:00:00,83,106
2019-01-01 17:00:00,83,185
2019-01-01 18:00:00,82,174
2019-01-01 19:00:00,70,183
2019-01-01 20:00:00,57,194
2019-01-01 21:00:00,49,136
2019-01-01 22:00:00,4,4
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,0,0
2019-01-02 05:00:00,40,330
2019-01-02 06:00:00,132,730
2019-01-02 07:00:00,165,1233
2019-01-02 08:00:00,163,813
2019-01-02 09:00:00,140,584
2019-01-02 10:00:00,179,435
2019-01-02 11:00:00,173,384
2019-01-02 12:00:00,205,427
2019-01-02 13:00:00,203,359
2019-01-02 14:00:00,268,330
2019-01-02 15:00:00,341,307
2019-01-02 16:00:00,420,272
2019-01-02 17:00:00,775,296
2019-01-02 18:00:00,800,261
2019-01-02 19:00:00,493,365
2019-01-02 20:00:00,300,358
2019-01-02 21:00:00,243,312
2019-01-02 22:00:00,16,10
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,0,0
2019-01-03 05:00:00,78,410
2019-01-03 06:00:00,302,975
2019-01-03 07:00:00,348,1832
2019-01-03 08:00:00,304,1474
2019-01-03 09:00:00,294,1011
2019-01-03 10:00:00,314,663
2019-01-03 11:00:00,384,579
2019-01-03 12:00:00,379,609
2019-01-03 13:00:00,357,554
2019-01-03 14:00:00,473,490
2019-01-03 15:00:00,568,424
2019-01-03 16:00:00,801,328
2019-01-03 17:00:00,1133,399
2019-01-03 18:00:00,1144,359
2019-01-03 19:00:00,746,369
2019-01-03 20:00:00,534,372
2019-01-03 21:00:00,338,286
2019-01-03 22:00:00,36,8
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,0,0
2019-01-04 05:00:00,61,273
2019-01-04 06:00:00,280,938
2019-01-04 07:00:00,371,1833
2019-01-04 08:00:00,333,1425
2019-01-04 09:00:00,312,938
2019-01-04 10:00:00,379,812
2019-01-04 11:00:00,399,599
2019-01-04 12:00:00,366,582
2019-01-04 13:00:00,447,697
2019-01-04 14:00:00,598,580
2019-01-04 15:00:00,750,472
2019-01-04 16:00:00,957,439
2019-01-04 17:00:00,1215,412
2019-01-04 18:00:00,1054,452
2019-01-04 19:00:00,774,331
2019-01-04 20:00:00,540,455
2019-01-04 21:00:00,431,284
2019-01-04 22:00:00,65,20
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,0,0
2019-01-05 05:00:00,48,179
2019-01-05 06:00:00,186,331
2019-01-05 07:00:00,269,468
2019-01-05 08:00:00,213,532
2019-01-05 09:00:00,196,369
2019-01-05 10:00:00,256,272
2019-01-05 11:00:00,246,280
2019-01-05 12:00:00,302,321
2019-01-05 13:00:00,304,294
2019-01-05 14:00:00,367,223
2019-01-05 15:00:00,429,219
2019-01-05 16:00:00,503,225
2019-01-05 17:00:00,485,242
2019-01-05 18:00:00,320,252
2019-01-05 19:00:00,239,197
2019-01-05 20:00:00,171,240
2019-01-05 21:00:00,123,132
2019-01-05 22:00:00,20,5
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,0,1
2019-01-06 05:00:00,26,59
2019-01-06 06:00:00,100,143
2019-01-06 07:00:00,123,139
2019-01-06 08:00:00,92,146
2019-01-06 09:00:00,97,126
2019-01-06 10:00:00,101,131
2019-01-06 11:00:00,106,118
2019-01-06 12:00:00,105,174
2019-01-06 13:00:00,110,155
2019-01-06 14:00:00,167,141
2019-01-06 15:00:00,188,129
2019-01-06 16:00:00,162,151
2019-01-06 17:00:00,137,196
2019-01-06 18:00:00,146,200
2019-01-06 19:00:00,135,179
2019-01-06 20:00:00,91,223
2019-01-06 21:00:00,89,188
2019-01-06 22:00:00,3,3
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,2,0
2019-01-07 05:00:00,50,423
2019-01-07 06:00:00,188,1100
2019-01-07 07:00:00,286,1829
2019-01-07 08:00:00,243,1735
2019-01-07 09:00:00,308,1077
2019-01-07 10:00:00,372,1064
2019-01-07 11:00:00,379,749
2019-01-07 12:00:00,428,639
2019-01-07 13:00:00,429,665
2019-01-07 14:00:00,557,649
2019-01-07 15:00:00,684,477
2019-01-07 16:00:00,924,331
2019-01-07 17:00:00,1260,472
2019-01-07 18:00:00,1211,427
2019-01-07 19:00:00,863,410
2019-01-07 20:00:00,621,459
2019-01-07 21:00:00,418,291
2019-01-07 22:00:00,41,4
2019-01-07 23:00:00,0,0
2019-01-08 04:00:00,0,6
2019-01-08 05:00:00,75,351
2019-01-08 06:00:00,277,1159
2019-01-08 07:00:00,400,1741
2019-01-08 08:00:00,333,1700
2019-01-08 09:00:00,391,1156
