date,time,entry,exit
2019-01-01,04:00 - 04:59,0,0
2019-01-01,05:00 - 05:59,0,0
2019-01-01,06:00 - 06:59,239,22
2019-01-01,07:00 - 07:59,413,525
2019-01-01,08:00 - 08:59,454,627
2019-01-01,09:00 - 09:59,640,595
2019-01-01,10:00 - 10:59,866,842
2019-01-01,11:00 - 11:59,1176,892
2019-01-01,12:00 - 12:59,1251,1174
2019-01-01,13:00 - 13:59,1273,1206
2019-01-01,14:00 - 14:59,1407,1341
2019-01-01,15:00 - 15:59,1436,1452
2019-01-01,16:00 - 16:59,1449,1090
2019-01-01,17:00 - 17:59,1455,1647
2019-01-01,18:00 - 18:59,1327,1427
2019-01-01,19:00 - 19:59,1177,1198
2019-01-01,20:00 - 20:59,1045,1174
2019-01-01,21:00 - 21:59,300,1063
2019-01-01,22:00 - 22:59,8,341
2019-01-01,23:00 - 23:59,0,0
2019-01-02,04:00 - 04:59,315,8
2019-01-02,05:00 - 05:59,1037,221
2019-01-02,06:00 - 06:59,1084,729
2019-01-02,07:00 - 07:59,1037,1249
2019-01-02,08:00 - 08:59,1076,1396
2019-01-02,09:00 - 09:59,1341,1213
2019-01-02,10:00 - 10:59,1546,1586
2019-01-02,11:00 - 11:59,1759,1502
2019-01-02,12:00 - 12:59,1902,1790
2019-01-02,13:00 - 13:59,1835,1707
2019-01-02,14:00 - 14:59,1981,1970
2019-01-02,15:00 - 15:59,1933,2434
2019-01-02,16:00 - 16:59,2058,2711
2019-01-02,17:00 - 17:59,1960,2847
2019-01-02,18:00 - 18:59,1891,3133
2019-01-02,19:00 - 19:59,1738,2783
2019-01-02,20:00 - 20:59,1557,3121
2019-01-02,21:00 - 21:59,480,1732
2019-01-02,22:00 - 22:59,14,559
2019-01-02,23:00 - 23:59,0,0
2019-01-03,04:00 - 04:59,320,6
2019-01-03,05:00 - 05:59,1391,279
2019-01-03,06:00 - 06:59,1258,1130
2019-01-03,07:00 - 07:59,1315,1530
2019-01-03,08:00 - 08:59,1390,2069
2019-01-03,09:00 - 09:59,1590,1800
2019-01-03,10:00 - 10:59,1813,1996
2019-01-03,11:00 - 11:59,1914,2121
2019-01-03,12:00 - 12:59,2078,2126
2019-01-03,13:00 - 13:59,1987,2117
2019-01-03,14:00 - 14:59,1949,2274
2019-01-03,15:00 - 15:59,2042,2743
2019-01-03,16:00 - 16:59,2116,2875
2019-01-03,17:00 - 17:59,2156,3729
2019-01-03,18:00 - 18:59,2161,4219
2019-01-03,19:00 - 19:59,1987,3574
2019-01-03,20:00 - 20:59,1568,2548
2019-01-03,21:00 - 21:59,495,1906
2019-01-03,22:00 - 22:59,17,633
2019-01-03,23:00 - 23:59,0,0
2019-01-04,04:00 - 04:59,249,1
2019-01-04,05:00 - 05:59,1107,118
2019-01-04,06:00 - 06:59,1303,1064
2019-01-04,07:00 - 07:59,1167,1721
2019-01-04,08:00 - 08:59,1391,1719
2019-01-04,09:00 - 09:59,1667,1972
2019-01-04,10:00 - 10:59,1845,1896
2019-01-04,11:00 - 11:59,1999,1960
2019-01-04,12:00 - 12:59,2133,2179
2019-01-04,13:00 - 13:59,2065,2468
2019-01-04,14:00 - 14:59,2126,2485
2019-01-04,15:00 - 15:59,2104,2568
2019-01-04,16:00 - 16:59,2183,3550
2019-01-04,17:00 - 17:59,2375,4220
2019-01-04,18:00 - 18:59,2453,4642
2019-01-04,19:00 - 19:59,2163,4232
2019-01-04,20:00 - 20:59,1657,2730
2019-01-04,21:00 - 21:59,622,2722
2019-01-04,22:00 - 22:59,43,1068
2019-01-04,23:00 - 23:59,0,0
2019-01-05,04:00 - 04:59,163,5
2019-01-05,05:00 - 05:59,771,170
2019-01-05,06:00 - 06:59,925,865
2019-01-05,07:00 - 07:59,1149,1534
2019-01-05,08:00 - 08:59,1273,1389
2019-01-05,09:00 - 09:59,1370,1723
2019-01-05,10:00 - 10:59,1551,1809
2019-01-05,11:00 - 11:59,1814,1977
2019-01-05,12:00 - 12:59,2071,2249
2019-01-05,13:00 - 13:59,1976,2564
2019-01-05,14:00 - 14:59,2018,2455
2019-01-05,15:00 - 15:59,2177,2740
2019-01-05,16:00 - 16:59,2241,3228
2019-01-05,17:00 - 17:59,2268,2971
2019-01-05,18:00 - 18:59,1936,3412
2019-01-05,19:00 - 19:59,1675,2514
2019-01-05,20:00 - 20:59,1282,2101
2019-01-05,21:00 - 21:59,457,1521
2019-01-05,22:00 - 22:59,30,560
2019-01-05,23:00 - 23:59,0,0
2019-01-06,04:00 - 04:59,91,3
2019-01-06,05:00 - 05:59,434,112
2019-01-06,06:00 - 06:59,610,535
2019-01-06,07:00 - 07:59,778,873
2019-01-06,08:00 - 08:59,997,893
2019-01-06,09:00 - 09:59,1180,1317
2019-01-06,10:00 - 10:59,1374,1352
2019-01-06,11:00 - 11:59,1700,1508
2019-01-06,12:00 - 12:59,1679,1547
2019-01-06,13:00 - 13:59,1676,1741
2019-01-06,14:00 - 14:59,1619,1902
2019-01-06,15:00 - 15:59,1662,1879
2019-01-06,16:00 - 16:59,1766,2127
2019-01-06,17:00 - 17:59,1734,2118
2019-01-06,18:00 - 18:59,1646,1820
2019-01-06,19:00 - 19:59,1422,1877
2019-01-06,20:00 - 20:59,1317,1475
2019-01-06,21:00 - 21:59,410,1456
2019-01-06,22:00 - 22:59,5,351
2019-01-06,23:00 - 23:59,0,0
2019-01-07,04:00 - 04:59,401,7
2019-01-07,05:00 - 05:59,1373,299
2019-01-07,06:00 - 06:59,1092,1028
2019-01-07,07:00 - 07:59,1414,1511
2019-01-07,08:00 - 08:59,1620,1629
2019-01-07,09:00 - 09:59,1801,1810
2019-01-07,10:00 - 10:59,1736,2003
2019-01-07,11:00 - 11:59,1858,2369
2019-01-07,12:00 - 12:59,1979,2229
2019-01-07,13:00 - 13:59,2016,1997
2019-01-07,14:00 - 14:59,2012,2598
2019-01-07,15:00 - 15:59,2077,2980
2019-01-07,16:00 - 16:59,2021,3278
2019-01-07,17:00 - 17:59,2288,3495
2019-01-07,18:00 - 18:59,2500,4542
2019-01-07,19:00 - 19:59,2090,3552
2019-01-07,20:00 - 20:59,1689,3117
2019-01-07,21:00 - 21:59,499,2309
2019-01-07,22:00 - 22:59,22,654
2019-01-07,23:00 - 23:59,0,0
2019-01-08,04:00 - 04:59,312,2
2019-01-08,05:00 - 05:59,1327,266
2019-01-08,06:00 - 06:59,1435,1087
2019-01-08,07:00 - 07:59,1521,1732
2019-01-08,08:00 - 08:59,1652,2192
2019-01-08,09:00 - 09:59,1723,1919
2019-01-08,10:00 - 10:59,2014,2223
2019-01-08,11:00 - 11:59,2031,2008
2019-01-08,12:00 - 12:59,2210,2277
2019-01-08,13:00 - 13:59,2138,2114
2019-01-08,14:00 - 14:59,2033,2610
2019-01-08,15:00 - 15:59,2086,2893
2019-01-08,16:00 - 16:59,2133,2651
2019-01-08,17:00 - 17:59,2237,4674
2019-01-08,18:00 - 18:59,2406,3444
2019-01-08,19:00 - 19:59,2269,4004
2019-01-08,20:00 - 20:59,1710,3634
2019-01-08,21:00 - 21:59,529,2338
2019-01-08,22:00 - 22:59,25,1025
2019-01-08,23:00 - 23:59,0,0
2019-01-09,04:00 - 04:59,300,14
2019-01-09,05:00 - 05:59,1410,246
2019-01-09,06:00 - 06:59,1317,1156
2019-01-09,07:00 - 07:59,1328,1770
2019-01-09,08:00 - 08:59,1789,2111
2019-01-09,09:00 - 09:59,1814,1928
2019-01-09,10:00 - 10:59,2101,2036
2019-01-09,11:00 - 11:59,2119,2244
2019-01-09,12:00 - 12:59,2207,2324
2019-01-09,13:00 - 13:59,2225,2114
2019-01-09,14:00 - 14:59,2129,2596
2019-01-09,15:00 - 15:59,2066,2917
2019-01-09,16:00 - 16:59,2184,3387
2019-01-09,17:00 - 17:59,2239,4515
2019-01-09,18:00 - 18:59,2363,4105
2019-01-09,19:00 - 19:59,1889,4179
2019-01-09,20:00 - 20:59,1601,3011
2019-01-09,21:00 - 21:59,520,2245
2019-01-09,22:00 - 22:59,26,976
2019-01-09,23:00 - 23:59,0,0
2019-01-10,04:00 - 04:59,250,8
2019-01-10,05:00 - 05:59,1320,246
2019-01-10,06:00 - 06:59,1443,1059
2019-01-10,07:00 - 07:59,1381,1722
2019-01-10,08:00 - 08:59,1501,1791
2019-01-10,09:00 - 09:59,1317,2049
2019-01-10,10:00 - 10:59,1821,2126
2019-01-10,11:00 - 11:59,2002,2138
2019-01-10,12:00 - 12:59,2095,2241
2019-01-10,13:00 - 13:59,2012,2041
2019-01-10,14:00 - 14:59,1991,2273
2019-01-10,15:00 - 15:59,2081,3071
2019-01-10,16:00 - 16:59,2149,3014
2019-01-10,17:00 - 17:59,2335,4106
2019-01-10,18:00 - 18:59,2370,4730
2019-01-10,19:00 - 19:59,1996,3297
2019-01-10,20:00 - 20:59,1650,3438
2019-01-10,21:00 - 21:59,610,2411
2019-01-10,22:00 - 22:59,29,902
2019-01-10,23:00 - 23:59,0,0
2019-01-11,04:00 - 04:59,237,13
2019-01-11,05:00 - 05:59,1212,272
2019-01-11,06:00 - 06:59,1371,1004
2019-01-11,07:00 - 07:59,1285,1449
2019-01-11,08:00 - 08:59,1438,2230
2019-01-11,09:00 - 09:59,1743,1841
2019-01-11,10:00 - 10:59,1936,2106
2019-01-11,11:00 - 11:59,2121,2292
2019-01-11,12:00 - 12:59,2259,2374
2019-01-11,13:00 - 13:59,2225,2449
2019-01-11,14:00 - 14:59,2267,2958
2019-01-11,15:00 - 15:59,2186,3043
2019-01-11,16:00 - 16:59,2320,2943
2019-01-11,17:00 - 17:59,2648,4530
2019-01-11,18:00 - 18:59,2547,3840
2019-01-11,19:00 - 19:59,2248,4380
2019-01-11,20:00 - 20:59,1782,4796
2019-01-11,21:00 - 21:59,721,2743
2019-01-11,22:00 - 22:59,43,1203
2019-01-11,23:00 - 23:59,0,0
2019-01-12,04:00 - 04:59,190,9
2019-01-12,05:00 - 05:59,832,197
2019-01-12,06:00 - 06:59,1012,1056
2019-01-12,07:00 - 07:59,1318,1401
2019-01-12,08:00 - 08:59,1450,1925
2019-01-12,09:00 - 09:59,1604,2007
2019-01-12,10:00 - 10:59,1527,1910
2019-01-12,11:00 - 11:59,1954,2185
2019-01-12,12:00 - 12:59,2243,2505
2019-01-12,13:00 - 13:59,2050,2573
2019-01-12,14:00 - 14:59,2020,2563
2019-01-12,15:00 - 15:59,2251,3317
2019-01-12,16:00 - 16:59,2177,3287
2019-01-12,17:00 - 17:59,2209,3718
2019-01-12,18:00 - 18:59,2001,3351
2019-01-12,19:00 - 19:59,1683,2935
2019-01-12,20:00 - 20:59,1374,2043
2019-01-12,21:00 - 21:59,392,1724
