datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,95,56
2019-01-01 07:00:00,203,280
2019-01-01 08:00:00,292,281
2019-01-01 09:00:00,372,358
2019-01-01 10:00:00,528,533
2019-01-01 11:00:00,705,742
2019-01-01 12:00:00,696,764
2019-01-01 13:00:00,664,851
2019-01-01 14:00:00,679,840
2019-01-01 15:00:00,740,979
2019-01-01 16:00:00,678,841
2019-01-01 17:00:00,640,1273
2019-01-01 18:00:00,575,1134
2019-01-01 19:00:00,538,972
2019-01-01 20:00:00,424,997
2019-01-01 21:00:00,313,524
2019-01-01 22:00:00,33,41
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,12,0
2019-01-02 05:00:00,255,541
2019-01-02 06:00:00,633,1052
2019-01-02 07:00:00,997,1184
2019-01-02 08:00:00,997,1067
2019-01-02 09:00:00,1004,882
2019-01-02 10:00:00,1033,1002
2019-01-02 11:00:00,991,1137
2019-01-02 12:00:00,1029,1159
2019-01-02 13:00:00,995,1158
2019-01-02 14:00:00,1046,1278
2019-01-02 15:00:00,1080,1348
2019-01-02 16:00:00,1143,1466
2019-01-02 17:00:00,1157,1638
2019-01-02 18:00:00,1214,1472
2019-01-02 19:00:00,865,1898
2019-01-02 20:00:00,693,1334
2019-01-02 21:00:00,467,932
2019-01-02 22:00:00,70,50
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,9,25
2019-01-03 05:00:00,384,669
2019-01-03 06:00:00,1039,1307
2019-01-03 07:00:00,1628,1728
2019-01-03 08:00:00,1463,1390
2019-01-03 09:00:00,1314,1306
2019-01-03 10:00:00,1317,1304
2019-01-03 11:00:00,1188,1289
2019-01-03 12:00:00,1201,1305
2019-01-03 13:00:00,1128,1274
2019-01-03 14:00:00,1208,1340
2019-01-03 15:00:00,1239,1473
2019-01-03 16:00:00,1431,1547
2019-01-03 17:00:00,1461,1957
2019-01-03 18:00:00,1401,1974
2019-01-03 19:00:00,1118,1782
2019-01-03 20:00:00,853,1306
2019-01-03 21:00:00,562,749
2019-01-03 22:00:00,64,68
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,0,0
2019-01-04 05:00:00,341,477
2019-01-04 06:00:00,1046,1218
2019-01-04 07:00:00,1713,1584
2019-01-04 08:00:00,1570,1374
2019-01-04 09:00:00,1456,1229
2019-01-04 10:00:00,1452,1274
2019-01-04 11:00:00,1232,1338
2019-01-04 12:00:00,1315,1339
2019-01-04 13:00:00,1382,1473
2019-01-04 14:00:00,1284,1329
2019-01-04 15:00:00,1459,1559
2019-01-04 16:00:00,1531,1662
2019-01-04 17:00:00,1652,1696
2019-01-04 18:00:00,1534,2055
2019-01-04 19:00:00,1286,1691
2019-01-04 20:00:00,1001,1541
2019-01-04 21:00:00,688,934
2019-01-04 22:00:00,105,90
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,10,6
2019-01-05 05:00:00,256,310
2019-01-05 06:00:00,657,699
2019-01-05 07:00:00,1100,837
2019-01-05 08:00:00,1262,915
2019-01-05 09:00:00,1200,901
2019-01-05 10:00:00,1276,836
2019-01-05 11:00:00,1321,935
2019-01-05 12:00:00,1445,1095
2019-01-05 13:00:00,1459,1150
2019-01-05 14:00:00,1325,1039
2019-01-05 15:00:00,1327,1334
2019-01-05 16:00:00,1476,1495
2019-01-05 17:00:00,1289,1428
2019-01-05 18:00:00,1023,1539
2019-01-05 19:00:00,890,1269
2019-01-05 20:00:00,658,1091
2019-01-05 21:00:00,392,657
2019-01-05 22:00:00,78,54
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,4,4
2019-01-06 05:00:00,144,102
2019-01-06 06:00:00,396,355
2019-01-06 07:00:00,627,407
2019-01-06 08:00:00,698,642
2019-01-06 09:00:00,1028,681
2019-01-06 10:00:00,993,689
2019-01-06 11:00:00,1104,827
2019-01-06 12:00:00,1059,937
2019-01-06 13:00:00,1090,931
2019-01-06 14:00:00,1030,1039
2019-01-06 15:00:00,996,1036
2019-01-06 16:00:00,967,1287
2019-01-06 17:00:00,828,1244
2019-01-06 18:00:00,759,1301
2019-01-06 19:00:00,634,1308
2019-01-06 20:00:00,529,1224
2019-01-06 21:00:00,333,842
2019-01-06 22:00:00,49,46
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,17,0
2019-01-07 05:00:00,470,820
2019-01-07 06:00:00,1249,1359
2019-01-07 07:00:00,1796,1667
2019-01-07 08:00:00,1694,1429
2019-01-07 09:00:00,1506,1243
2019-01-07 10:00:00,1393,1521
2019-01-07 11:00:00,1292,1345
2019-01-07 12:00:00,1191,1192
2019-01-07 13:00:00,1227,1595
2019-01-07 14:00:00,1254,1396
2019-01-07 15:00:00,1280,1761
2019-01-07 16:00:00,1502,1761
2019-01-07 17:00:00,1526,1936
2019-01-07 18:00:00,1613,2177
2019-01-07 19:00:00,1214,1906
2019-01-07 20:00:00,962,1536
2019-01-07 21:00:00,653,951
2019-01-07 22:00:00,75,74
