datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,72,6
2019-01-01 07:00:00,75,48
2019-01-01 08:00:00,117,67
2019-01-01 09:00:00,134,72
2019-01-01 10:00:00,200,84
2019-01-01 11:00:00,287,96
2019-01-01 12:00:00,323,101
2019-01-01 13:00:00,268,138
2019-01-01 14:00:00,296,118
2019-01-01 15:00:00,414,125
2019-01-01 16:00:00,371,102
2019-01-01 17:00:00,500,146
2019-01-01 18:00:00,369,101
2019-01-01 19:00:00,308,145
2019-01-01 20:00:00,282,143
2019-01-01 21:00:00,82,136
2019-01-01 22:00:00,0,42
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,150,0
2019-01-02 05:00:00,477,11
2019-01-02 06:00:00,637,167
2019-01-02 07:00:00,599,251
2019-01-02 08:00:00,485,284
2019-01-02 09:00:00,453,249
2019-01-02 10:00:00,527,175
2019-01-02 11:00:00,562,175
2019-01-02 12:00:00,601,210
2019-01-02 13:00:00,551,246
2019-01-02 14:00:00,517,213
2019-01-02 15:00:00,576,240
2019-01-02 16:00:00,627,277
2019-01-02 17:00:00,745,393
2019-01-02 18:00:00,682,379
2019-01-02 19:00:00,545,318
2019-01-02 20:00:00,485,375
2019-01-02 21:00:00,85,244
2019-01-02 22:00:00,2,98
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,167,0
2019-01-03 05:00:00,542,32
2019-01-03 06:00:00,835,324
2019-01-03 07:00:00,829,628
2019-01-03 08:00:00,681,591
2019-01-03 09:00:00,615,444
2019-01-03 10:00:00,645,396
2019-01-03 11:00:00,733,366
2019-01-03 12:00:00,669,392
2019-01-03 13:00:00,626,375
2019-01-03 14:00:00,653,393
2019-01-03 15:00:00,591,423
2019-01-03 16:00:00,893,457
2019-01-03 17:00:00,1137,506
2019-01-03 18:00:00,856,534
2019-01-03 19:00:00,578,469
2019-01-03 20:00:00,404,342
2019-01-03 21:00:00,109,327
2019-01-03 22:00:00,7,117
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,70,2
2019-01-04 05:00:00,374,1
2019-01-04 06:00:00,720,324
2019-01-04 07:00:00,738,564
2019-01-04 08:00:00,721,600
2019-01-04 09:00:00,707,555
2019-01-04 10:00:00,682,463
2019-01-04 11:00:00,721,402
2019-01-04 12:00:00,782,459
2019-01-04 13:00:00,725,421
2019-01-04 14:00:00,646,486
2019-01-04 15:00:00,669,490
2019-01-04 16:00:00,897,521
2019-01-04 17:00:00,1115,493
2019-01-04 18:00:00,944,518
2019-01-04 19:00:00,650,572
2019-01-04 20:00:00,444,366
2019-01-04 21:00:00,157,390
2019-01-04 22:00:00,9,192
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,35,0
2019-01-05 05:00:00,193,20
2019-01-05 06:00:00,291,134
2019-01-05 07:00:00,366,288
2019-01-05 08:00:00,424,358
2019-01-05 09:00:00,437,329
2019-01-05 10:00:00,434,305
2019-01-05 11:00:00,436,231
2019-01-05 12:00:00,565,343
2019-01-05 13:00:00,497,429
2019-01-05 14:00:00,556,396
2019-01-05 15:00:00,516,303
2019-01-05 16:00:00,619,390
2019-01-05 17:00:00,666,459
2019-01-05 18:00:00,520,442
2019-01-05 19:00:00,404,298
2019-01-05 20:00:00,330,265
2019-01-05 21:00:00,61,226
2019-01-05 22:00:00,7,109
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,40,0
2019-01-06 05:00:00,102,12
2019-01-06 06:00:00,177,78
2019-01-06 07:00:00,192,109
2019-01-06 08:00:00,274,176
2019-01-06 09:00:00,354,205
2019-01-06 10:00:00,335,232
2019-01-06 11:00:00,387,176
2019-01-06 12:00:00,401,148
2019-01-06 13:00:00,380,197
2019-01-06 14:00:00,470,202
2019-01-06 15:00:00,424,202
2019-01-06 16:00:00,407,231
2019-01-06 17:00:00,448,271
2019-01-06 18:00:00,442,242
2019-01-06 19:00:00,438,207
2019-01-06 20:00:00,267,189
2019-01-06 21:00:00,88,176
2019-01-06 22:00:00,1,74
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,185,0
2019-01-07 05:00:00,697,53
2019-01-07 06:00:00,853,398
2019-01-07 07:00:00,1009,597
2019-01-07 08:00:00,883,590
2019-01-07 09:00:00,888,633
2019-01-07 10:00:00,815,534
2019-01-07 11:00:00,779,435
2019-01-07 12:00:00,847,486
2019-01-07 13:00:00,751,445
2019-01-07 14:00:00,701,437
2019-01-07 15:00:00,721,408
2019-01-07 16:00:00,995,525
2019-01-07 17:00:00,1195,444
2019-01-07 18:00:00,945,679
2019-01-07 19:00:00,764,487
2019-01-07 20:00:00,490,512
2019-01-07 21:00:00,116,325
2019-01-07 22:00:00,5,137
2019-01-07 23:00:00,0,0
2019-01-08 04:00:00,94,0
2019-01-08 05:00:00,447,31
2019-01-08 06:00:00,883,332
2019-01-08 07:00:00,942,658
2019-01-08 08:00:00,784,771
2019-01-08 09:00:00,893,687
2019-01-08 10:00:00,889,584
