datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,186,42
2019-01-01 07:00:00,278,160
2019-01-01 08:00:00,223,127
2019-01-01 09:00:00,216,178
2019-01-01 10:00:00,282,165
2019-01-01 11:00:00,342,206
2019-01-01 12:00:00,351,236
2019-01-01 13:00:00,355,226
2019-01-01 14:00:00,361,199
2019-01-01 15:00:00,401,248
2019-01-01 16:00:00,349,186
2019-01-01 17:00:00,287,435
2019-01-01 18:00:00,376,360
2019-01-01 19:00:00,305,370
2019-01-01 20:00:00,289,434
2019-01-01 21:00:00,220,318
2019-01-01 22:00:00,35,2
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,5,0
2019-01-02 05:00:00,232,422
2019-01-02 06:00:00,630,910
2019-01-02 07:00:00,815,1348
2019-01-02 08:00:00,586,1057
2019-01-02 09:00:00,632,711
2019-01-02 10:00:00,567,552
2019-01-02 11:00:00,657,535
2019-01-02 12:00:00,627,533
2019-01-02 13:00:00,665,611
2019-01-02 14:00:00,854,504
2019-01-02 15:00:00,1043,410
2019-01-02 16:00:00,1221,508
2019-01-02 17:00:00,1682,496
2019-01-02 18:00:00,1831,517
2019-01-02 19:00:00,1308,804
2019-01-02 20:00:00,856,766
2019-01-02 21:00:00,566,760
2019-01-02 22:00:00,56,15
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,0,0
2019-01-03 05:00:00,350,538
2019-01-03 06:00:00,1144,1077
2019-01-03 07:00:00,1422,1773
2019-01-03 08:00:00,1211,1711
2019-01-03 09:00:00,1057,1205
2019-01-03 10:00:00,1022,882
2019-01-03 11:00:00,861,701
2019-01-03 12:00:00,923,740
2019-01-03 13:00:00,1019,728
2019-01-03 14:00:00,1094,678
2019-01-03 15:00:00,1343,574
2019-01-03 16:00:00,1729,539
2019-01-03 17:00:00,2494,610
2019-01-03 18:00:00,2374,777
2019-01-03 19:00:00,1710,860
2019-01-03 20:00:00,1223,783
2019-01-03 21:00:00,738,681
2019-01-03 22:00:00,58,21
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,0,0
2019-01-04 05:00:00,285,383
2019-01-04 06:00:00,1025,1067
2019-01-04 07:00:00,1354,1623
2019-01-04 08:00:00,1270,1590
2019-01-04 09:00:00,1002,1055
2019-01-04 10:00:00,1022,1072
2019-01-04 11:00:00,1011,830
2019-01-04 12:00:00,989,655
2019-01-04 13:00:00,985,841
2019-01-04 14:00:00,1295,743
2019-01-04 15:00:00,1545,553
2019-01-04 16:00:00,1953,695
2019-01-04 17:00:00,2805,631
2019-01-04 18:00:00,2312,879
2019-01-04 19:00:00,1803,731
2019-01-04 20:00:00,1398,782
2019-01-04 21:00:00,915,706
2019-01-04 22:00:00,131,42
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,3,0
2019-01-05 05:00:00,203,202
2019-01-05 06:00:00,725,498
2019-01-05 07:00:00,837,712
2019-01-05 08:00:00,799,800
2019-01-05 09:00:00,809,744
2019-01-05 10:00:00,842,515
2019-01-05 11:00:00,797,483
2019-01-05 12:00:00,1132,496
2019-01-05 13:00:00,937,481
2019-01-05 14:00:00,1030,549
2019-01-05 15:00:00,1253,395
2019-01-05 16:00:00,1487,488
2019-01-05 17:00:00,1540,478
2019-01-05 18:00:00,1260,508
2019-01-05 19:00:00,936,442
2019-01-05 20:00:00,692,420
2019-01-05 21:00:00,449,373
2019-01-05 22:00:00,35,12
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,0,0
2019-01-06 05:00:00,129,123
2019-01-06 06:00:00,331,264
2019-01-06 07:00:00,474,302
2019-01-06 08:00:00,467,388
2019-01-06 09:00:00,488,306
2019-01-06 10:00:00,523,335
2019-01-06 11:00:00,544,369
2019-01-06 12:00:00,618,334
2019-01-06 13:00:00,539,330
2019-01-06 14:00:00,584,335
2019-01-06 15:00:00,680,327
2019-01-06 16:00:00,611,370
2019-01-06 17:00:00,645,358
2019-01-06 18:00:00,565,458
2019-01-06 19:00:00,452,477
2019-01-06 20:00:00,442,429
2019-01-06 21:00:00,346,337
2019-01-06 22:00:00,30,12
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,0,0
2019-01-07 05:00:00,404,608
2019-01-07 06:00:00,923,1302
2019-01-07 07:00:00,1201,1731
2019-01-07 08:00:00,1191,1751
2019-01-07 09:00:00,1360,1410
2019-01-07 10:00:00,1121,1126
2019-01-07 11:00:00,1045,890
2019-01-07 12:00:00,985,867
2019-01-07 13:00:00,1008,742
2019-01-07 14:00:00,1188,741
2019-01-07 15:00:00,1438,665
2019-01-07 16:00:00,2022,652
2019-01-07 17:00:00,2835,729
2019-01-07 18:00:00,2703,847
2019-01-07 19:00:00,2128,891
2019-01-07 20:00:00,1437,907
2019-01-07 21:00:00,872,695
2019-01-07 22:00:00,87,14
2019-01-07 23:00:00,0,0
2019-01-08 04:00:00,0,0
2019-01-08 05:00:00,379,495
2019-01-08 06:00:00,1215,1368
