datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,376,13
2019-01-01 07:00:00,471,240
2019-01-01 08:00:00,675,382
2019-01-01 09:00:00,971,456
2019-01-01 10:00:00,1575,600
2019-01-01 11:00:00,2052,936
2019-01-01 12:00:00,1784,912
2019-01-01 13:00:00,1806,1060
2019-01-01 14:00:00,1804,1014
2019-01-01 15:00:00,1880,1009
2019-01-01 16:00:00,1981,1138
2019-01-01 17:00:00,2134,1294
2019-01-01 18:00:00,1996,1058
2019-01-01 19:00:00,1882,932
2019-01-01 20:00:00,1857,832
2019-01-01 21:00:00,303,739
2019-01-01 22:00:00,0,436
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,665,0
2019-01-02 05:00:00,3525,1
2019-01-02 06:00:00,5342,475
2019-01-02 07:00:00,4644,633
2019-01-02 08:00:00,3467,671
2019-01-02 09:00:00,3481,797
2019-01-02 10:00:00,3340,1143
2019-01-02 11:00:00,3507,1210
2019-01-02 12:00:00,3335,1251
2019-01-02 13:00:00,2975,1148
2019-01-02 14:00:00,2650,1708
2019-01-02 15:00:00,2337,1767
2019-01-02 16:00:00,2463,2498
2019-01-02 17:00:00,2780,2679
2019-01-02 18:00:00,2753,3541
2019-01-02 19:00:00,2913,2762
2019-01-02 20:00:00,2953,2435
2019-01-02 21:00:00,431,1666
2019-01-02 22:00:00,0,960
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,818,0
2019-01-03 05:00:00,3612,1
2019-01-03 06:00:00,6824,643
2019-01-03 07:00:00,5712,1015
2019-01-03 08:00:00,5558,1082
2019-01-03 09:00:00,4440,1155
2019-01-03 10:00:00,3934,1473
2019-01-03 11:00:00,3774,1365
2019-01-03 12:00:00,3503,1448
2019-01-03 13:00:00,3069,1594
2019-01-03 14:00:00,2681,1631
2019-01-03 15:00:00,2297,2278
2019-01-03 16:00:00,2207,2914
2019-01-03 17:00:00,2704,3767
2019-01-03 18:00:00,2526,4954
2019-01-03 19:00:00,2742,4026
2019-01-03 20:00:00,2504,2780
2019-01-03 21:00:00,285,2097
2019-01-03 22:00:00,0,904
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,513,0
2019-01-04 05:00:00,3181,1
2019-01-04 06:00:00,6619,539
2019-01-04 07:00:00,5691,1021
2019-01-04 08:00:00,4958,1202
2019-01-04 09:00:00,4480,1028
2019-01-04 10:00:00,3995,1400
2019-01-04 11:00:00,3678,1386
2019-01-04 12:00:00,3885,1857
2019-01-04 13:00:00,3481,1624
2019-01-04 14:00:00,2831,1765
2019-01-04 15:00:00,2424,2645
2019-01-04 16:00:00,2487,2909
2019-01-04 17:00:00,2856,4536
2019-01-04 18:00:00,2734,4589
2019-01-04 19:00:00,2642,4338
2019-01-04 20:00:00,2659,2896
2019-01-04 21:00:00,587,2299
2019-01-04 22:00:00,0,1309
2019-01-04 23:00:00,0,75
2019-01-05 04:00:00,280,0
2019-01-05 05:00:00,1476,0
2019-01-05 06:00:00,2158,418
2019-01-05 07:00:00,2903,990
2019-01-05 08:00:00,3205,1012
2019-01-05 09:00:00,3089,1216
2019-01-05 10:00:00,2651,1544
2019-01-05 11:00:00,2904,1482
2019-01-05 12:00:00,3094,2194
2019-01-05 13:00:00,2699,2161
2019-01-05 14:00:00,2374,1987
2019-01-05 15:00:00,2216,2342
2019-01-05 16:00:00,2480,2300
2019-01-05 17:00:00,2638,3065
2019-01-05 18:00:00,2311,3268
2019-01-05 19:00:00,2235,2259
2019-01-05 20:00:00,1982,1738
2019-01-05 21:00:00,253,1223
2019-01-05 22:00:00,0,778
2019-01-05 23:00:00,0,3
2019-01-06 04:00:00,166,1
2019-01-06 05:00:00,677,0
2019-01-06 06:00:00,953,197
2019-01-06 07:00:00,1167,458
2019-01-06 08:00:00,1998,687
2019-01-06 09:00:00,2193,909
2019-01-06 10:00:00,2178,1065
2019-01-06 11:00:00,2303,1303
2019-01-06 12:00:00,2295,1523
2019-01-06 13:00:00,2128,1461
2019-01-06 14:00:00,1940,1526
2019-01-06 15:00:00,2071,1636
2019-01-06 16:00:00,2026,1640
2019-01-06 17:00:00,2256,1660
2019-01-06 18:00:00,2219,1545
2019-01-06 19:00:00,2335,1311
2019-01-06 20:00:00,2297,1197
2019-01-06 21:00:00,310,1015
2019-01-06 22:00:00,0,576
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,973,1
2019-01-07 05:00:00,4201,0
2019-01-07 06:00:00,5827,547
2019-01-07 07:00:00,5861,878
2019-01-07 08:00:00,5600,1045
2019-01-07 09:00:00,4724,921
2019-01-07 10:00:00,4504,1223
2019-01-07 11:00:00,4245,1358
2019-01-07 12:00:00,3648,1553
2019-01-07 13:00:00,3373,1455
2019-01-07 14:00:00,2812,1799
2019-01-07 15:00:00,2324,2143
2019-01-07 16:00:00,2355,2923
2019-01-07 17:00:00,2945,3858
2019-01-07 18:00:00,2735,4898
2019-01-07 19:00:00,2849,4350
