datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,376,16
2019-01-01 07:00:00,471,135
2019-01-01 08:00:00,675,152
2019-01-01 09:00:00,971,149
2019-01-01 10:00:00,1575,268
2019-01-01 11:00:00,2052,454
2019-01-01 12:00:00,1784,481
2019-01-01 13:00:00,1806,420
2019-01-01 14:00:00,1804,485
2019-01-01 15:00:00,1880,444
2019-01-01 16:00:00,1981,399
2019-01-01 17:00:00,2134,369
2019-01-01 18:00:00,1996,339
2019-01-01 19:00:00,1882,302
2019-01-01 20:00:00,1857,249
2019-01-01 21:00:00,303,175
2019-01-01 22:00:00,0,28
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,665,23
2019-01-02 05:00:00,3525,382
2019-01-02 06:00:00,5342,1106
2019-01-02 07:00:00,4644,1812
2019-01-02 08:00:00,3467,1646
2019-01-02 09:00:00,3481,1075
2019-01-02 10:00:00,3340,1089
2019-01-02 11:00:00,3507,1010
2019-01-02 12:00:00,3335,1108
2019-01-02 13:00:00,2975,1036
2019-01-02 14:00:00,2650,824
2019-01-02 15:00:00,2337,811
2019-01-02 16:00:00,2463,785
2019-01-02 17:00:00,2780,823
2019-01-02 18:00:00,2753,774
2019-01-02 19:00:00,2913,674
2019-01-02 20:00:00,2953,743
2019-01-02 21:00:00,431,414
2019-01-02 22:00:00,0,60
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,818,26
2019-01-03 05:00:00,3612,491
2019-01-03 06:00:00,6824,1092
2019-01-03 07:00:00,5712,2198
2019-01-03 08:00:00,5558,2824
2019-01-03 09:00:00,4440,1839
2019-01-03 10:00:00,3934,1658
2019-01-03 11:00:00,3774,1508
2019-01-03 12:00:00,3503,1421
2019-01-03 13:00:00,3069,1355
2019-01-03 14:00:00,2681,1247
2019-01-03 15:00:00,2297,1033
2019-01-03 16:00:00,2207,899
2019-01-03 17:00:00,2704,897
2019-01-03 18:00:00,2526,940
2019-01-03 19:00:00,2742,790
2019-01-03 20:00:00,2504,668
2019-01-03 21:00:00,285,407
2019-01-03 22:00:00,0,86
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,513,0
2019-01-04 05:00:00,3181,397
2019-01-04 06:00:00,6619,1074
2019-01-04 07:00:00,5691,2154
2019-01-04 08:00:00,4958,2589
2019-01-04 09:00:00,4480,1968
2019-01-04 10:00:00,3995,1587
2019-01-04 11:00:00,3678,1637
2019-01-04 12:00:00,3885,1500
2019-01-04 13:00:00,3481,1597
2019-01-04 14:00:00,2831,1338
2019-01-04 15:00:00,2424,1087
2019-01-04 16:00:00,2487,987
2019-01-04 17:00:00,2856,1258
2019-01-04 18:00:00,2734,991
2019-01-04 19:00:00,2642,1076
2019-01-04 20:00:00,2659,771
2019-01-04 21:00:00,587,442
2019-01-04 22:00:00,0,107
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,280,8
2019-01-05 05:00:00,1476,200
2019-01-05 06:00:00,2158,404
2019-01-05 07:00:00,2903,806
2019-01-05 08:00:00,3205,1066
2019-01-05 09:00:00,3089,1131
2019-01-05 10:00:00,2651,944
2019-01-05 11:00:00,2904,1030
2019-01-05 12:00:00,3094,1332
2019-01-05 13:00:00,2699,1130
2019-01-05 14:00:00,2374,1043
2019-01-05 15:00:00,2216,900
2019-01-05 16:00:00,2480,904
2019-01-05 17:00:00,2638,803
2019-01-05 18:00:00,2311,825
2019-01-05 19:00:00,2235,536
2019-01-05 20:00:00,1982,491
2019-01-05 21:00:00,253,240
2019-01-05 22:00:00,0,40
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,166,0
2019-01-06 05:00:00,677,108
2019-01-06 06:00:00,953,216
2019-01-06 07:00:00,1167,294
2019-01-06 08:00:00,1998,478
2019-01-06 09:00:00,2193,687
2019-01-06 10:00:00,2178,637
2019-01-06 11:00:00,2303,865
2019-01-06 12:00:00,2295,855
2019-01-06 13:00:00,2128,773
2019-01-06 14:00:00,1940,629
2019-01-06 15:00:00,2071,578
2019-01-06 16:00:00,2026,575
2019-01-06 17:00:00,2256,536
2019-01-06 18:00:00,2219,502
2019-01-06 19:00:00,2335,401
2019-01-06 20:00:00,2297,310
2019-01-06 21:00:00,310,221
2019-01-06 22:00:00,0,28
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,973,17
2019-01-07 05:00:00,4201,509
2019-01-07 06:00:00,5827,1123
2019-01-07 07:00:00,5861,1926
2019-01-07 08:00:00,5600,2509
2019-01-07 09:00:00,4724,2246
2019-01-07 10:00:00,4504,2393
2019-01-07 11:00:00,4245,1639
2019-01-07 12:00:00,3648,1578
2019-01-07 13:00:00,3373,1433
2019-01-07 14:00:00,2812,1502
2019-01-07 15:00:00,2324,1071
2019-01-07 16:00:00,2355,1050
2019-01-07 17:00:00,2945,1111
2019-01-07 18:00:00,2735,1140
2019-01-07 19:00:00,2849,866
2019-01-07 20:00:00,2776,886
2019-01-07 21:00:00,301,469
