datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,152,1
2019-01-01 07:00:00,214,187
2019-01-01 08:00:00,236,159
2019-01-01 09:00:00,257,149
2019-01-01 10:00:00,463,198
2019-01-01 11:00:00,636,311
2019-01-01 12:00:00,621,282
2019-01-01 13:00:00,557,376
2019-01-01 14:00:00,613,320
2019-01-01 15:00:00,567,361
2019-01-01 16:00:00,532,407
2019-01-01 17:00:00,574,420
2019-01-01 18:00:00,488,422
2019-01-01 19:00:00,447,421
2019-01-01 20:00:00,332,427
2019-01-01 21:00:00,64,280
2019-01-01 22:00:00,0,176
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,147,0
2019-01-02 05:00:00,887,23
2019-01-02 06:00:00,1409,333
2019-01-02 07:00:00,1151,590
2019-01-02 08:00:00,957,641
2019-01-02 09:00:00,1048,475
2019-01-02 10:00:00,1111,539
2019-01-02 11:00:00,1275,503
2019-01-02 12:00:00,1086,535
2019-01-02 13:00:00,1071,646
2019-01-02 14:00:00,1020,690
2019-01-02 15:00:00,919,786
2019-01-02 16:00:00,1024,1010
2019-01-02 17:00:00,1025,1245
2019-01-02 18:00:00,1056,1406
2019-01-02 19:00:00,910,1207
2019-01-02 20:00:00,717,1290
2019-01-02 21:00:00,135,846
2019-01-02 22:00:00,4,325
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,193,0
2019-01-03 05:00:00,1314,2
2019-01-03 06:00:00,2130,691
2019-01-03 07:00:00,1678,1330
2019-01-03 08:00:00,1471,1163
2019-01-03 09:00:00,1429,971
2019-01-03 10:00:00,1500,849
2019-01-03 11:00:00,1473,766
2019-01-03 12:00:00,1388,801
2019-01-03 13:00:00,1321,901
2019-01-03 14:00:00,1198,840
2019-01-03 15:00:00,1109,958
2019-01-03 16:00:00,1315,1255
2019-01-03 17:00:00,1857,1786
2019-01-03 18:00:00,1626,1715
2019-01-03 19:00:00,1175,1919
2019-01-03 20:00:00,870,1325
2019-01-03 21:00:00,146,965
2019-01-03 22:00:00,6,423
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,154,0
2019-01-04 05:00:00,1048,2
2019-01-04 06:00:00,2137,693
2019-01-04 07:00:00,1522,1029
2019-01-04 08:00:00,1529,1437
2019-01-04 09:00:00,1549,972
2019-01-04 10:00:00,1617,805
2019-01-04 11:00:00,1486,912
2019-01-04 12:00:00,1648,788
2019-01-04 13:00:00,1446,896
2019-01-04 14:00:00,1259,1151
2019-01-04 15:00:00,1217,1149
2019-01-04 16:00:00,1400,1244
2019-01-04 17:00:00,1963,1851
2019-01-04 18:00:00,1812,1742
2019-01-04 19:00:00,1336,1960
2019-01-04 20:00:00,981,1258
2019-01-04 21:00:00,249,1269
2019-01-04 22:00:00,4,644
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,96,0
2019-01-05 05:00:00,449,56
2019-01-05 06:00:00,884,381
2019-01-05 07:00:00,943,679
2019-01-05 08:00:00,1136,662
2019-01-05 09:00:00,1020,662
2019-01-05 10:00:00,1030,640
2019-01-05 11:00:00,1059,734
2019-01-05 12:00:00,1274,733
2019-01-05 13:00:00,1059,820
2019-01-05 14:00:00,954,824
2019-01-05 15:00:00,972,920
2019-01-05 16:00:00,1098,1087
2019-01-05 17:00:00,1224,1105
2019-01-05 18:00:00,941,1484
2019-01-05 19:00:00,677,956
2019-01-05 20:00:00,591,864
2019-01-05 21:00:00,132,622
2019-01-05 22:00:00,7,279
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,46,0
2019-01-06 05:00:00,259,31
2019-01-06 06:00:00,384,158
2019-01-06 07:00:00,458,305
2019-01-06 08:00:00,634,376
2019-01-06 09:00:00,739,411
2019-01-06 10:00:00,739,428
2019-01-06 11:00:00,863,434
2019-01-06 12:00:00,871,446
2019-01-06 13:00:00,733,531
2019-01-06 14:00:00,671,580
2019-01-06 15:00:00,700,734
2019-01-06 16:00:00,677,631
2019-01-06 17:00:00,732,728
2019-01-06 18:00:00,642,712
2019-01-06 19:00:00,582,630
2019-01-06 20:00:00,466,577
2019-01-06 21:00:00,156,429
2019-01-06 22:00:00,1,250
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,213,0
2019-01-07 05:00:00,1437,100
2019-01-07 06:00:00,2148,786
2019-01-07 07:00:00,1575,1351
2019-01-07 08:00:00,1480,1251
2019-01-07 09:00:00,1336,1263
2019-01-07 10:00:00,2002,1092
2019-01-07 11:00:00,1677,939
2019-01-07 12:00:00,1587,979
2019-01-07 13:00:00,1427,819
2019-01-07 14:00:00,1340,1158
2019-01-07 15:00:00,1264,1097
2019-01-07 16:00:00,1619,1541
2019-01-07 17:00:00,2104,1782
2019-01-07 18:00:00,1892,2065
2019-01-07 19:00:00,1411,1876
2019-01-07 20:00:00,975,1675
2019-01-07 21:00:00,199,1117
2019-01-07 22:00:00,6,501
2019-01-07 23:00:00,0,0
2019-01-08 04:00:00,202,1
2019-01-08 05:00:00,1261,54
