datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,15,16
2019-01-01 07:00:00,17,43
2019-01-01 08:00:00,21,42
2019-01-01 09:00:00,41,60
2019-01-01 10:00:00,48,83
2019-01-01 11:00:00,77,175
2019-01-01 12:00:00,64,167
2019-01-01 13:00:00,69,94
2019-01-01 14:00:00,63,101
2019-01-01 15:00:00,68,91
2019-01-01 16:00:00,115,97
2019-01-01 17:00:00,90,94
2019-01-01 18:00:00,87,85
2019-01-01 19:00:00,53,63
2019-01-01 20:00:00,78,52
2019-01-01 21:00:00,58,59
2019-01-01 22:00:00,34,25
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,5,1
2019-01-02 05:00:00,56,56
2019-01-02 06:00:00,101,225
2019-01-02 07:00:00,194,521
2019-01-02 08:00:00,124,482
2019-01-02 09:00:00,158,439
2019-01-02 10:00:00,145,320
2019-01-02 11:00:00,150,349
2019-01-02 12:00:00,145,278
2019-01-02 13:00:00,170,225
2019-01-02 14:00:00,204,253
2019-01-02 15:00:00,216,192
2019-01-02 16:00:00,227,217
2019-01-02 17:00:00,398,206
2019-01-02 18:00:00,467,212
2019-01-02 19:00:00,283,190
2019-01-02 20:00:00,210,141
2019-01-02 21:00:00,126,105
2019-01-02 22:00:00,17,29
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,9,2
2019-01-03 05:00:00,55,78
2019-01-03 06:00:00,179,402
2019-01-03 07:00:00,318,889
2019-01-03 08:00:00,210,1082
2019-01-03 09:00:00,239,880
2019-01-03 10:00:00,314,709
2019-01-03 11:00:00,362,605
2019-01-03 12:00:00,311,489
2019-01-03 13:00:00,372,428
2019-01-03 14:00:00,377,374
2019-01-03 15:00:00,435,361
2019-01-03 16:00:00,434,236
2019-01-03 17:00:00,698,317
2019-01-03 18:00:00,698,257
2019-01-03 19:00:00,433,200
2019-01-03 20:00:00,292,159
2019-01-03 21:00:00,154,93
2019-01-03 22:00:00,15,39
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,2,0
2019-01-04 05:00:00,58,51
2019-01-04 06:00:00,178,401
2019-01-04 07:00:00,312,839
2019-01-04 08:00:00,265,1061
2019-01-04 09:00:00,293,885
2019-01-04 10:00:00,380,756
2019-01-04 11:00:00,325,573
2019-01-04 12:00:00,347,546
2019-01-04 13:00:00,341,466
2019-01-04 14:00:00,419,436
2019-01-04 15:00:00,487,409
2019-01-04 16:00:00,522,318
2019-01-04 17:00:00,685,311
2019-01-04 18:00:00,644,263
2019-01-04 19:00:00,483,213
2019-01-04 20:00:00,278,187
2019-01-04 21:00:00,166,119
2019-01-04 22:00:00,65,54
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,5,0
2019-01-05 05:00:00,36,31
2019-01-05 06:00:00,60,127
2019-01-05 07:00:00,133,411
2019-01-05 08:00:00,119,418
2019-01-05 09:00:00,161,517
2019-01-05 10:00:00,148,400
2019-01-05 11:00:00,155,382
2019-01-05 12:00:00,263,368
2019-01-05 13:00:00,227,297
2019-01-05 14:00:00,225,234
2019-01-05 15:00:00,285,221
2019-01-05 16:00:00,356,195
2019-01-05 17:00:00,374,231
2019-01-05 18:00:00,306,205
2019-01-05 19:00:00,233,138
2019-01-05 20:00:00,160,122
2019-01-05 21:00:00,91,71
2019-01-05 22:00:00,48,43
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,1,1
2019-01-06 05:00:00,12,7
2019-01-06 06:00:00,29,50
2019-01-06 07:00:00,67,95
2019-01-06 08:00:00,76,185
2019-01-06 09:00:00,133,315
2019-01-06 10:00:00,121,294
2019-01-06 11:00:00,70,258
2019-01-06 12:00:00,144,184
2019-01-06 13:00:00,123,200
2019-01-06 14:00:00,135,190
2019-01-06 15:00:00,148,156
2019-01-06 16:00:00,154,173
2019-01-06 17:00:00,182,174
2019-01-06 18:00:00,188,135
2019-01-06 19:00:00,141,117
2019-01-06 20:00:00,183,86
2019-01-06 21:00:00,107,84
2019-01-06 22:00:00,20,32
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,11,9
2019-01-07 05:00:00,89,138
2019-01-07 06:00:00,278,493
2019-01-07 07:00:00,448,806
2019-01-07 08:00:00,370,953
2019-01-07 09:00:00,353,941
2019-01-07 10:00:00,369,948
2019-01-07 11:00:00,340,641
2019-01-07 12:00:00,377,541
2019-01-07 13:00:00,360,446
2019-01-07 14:00:00,418,433
2019-01-07 15:00:00,513,379
2019-01-07 16:00:00,540,317
2019-01-07 17:00:00,835,312
2019-01-07 18:00:00,761,276
2019-01-07 19:00:00,436,282
2019-01-07 20:00:00,292,222
2019-01-07 21:00:00,164,159
2019-01-07 22:00:00,32,34
2019-01-07 23:00:00,0,0
2019-01-08 04:00:00,8,3
2019-01-08 05:00:00,91,81
2019-01-08 06:00:00,238,386
2019-01-08 07:00:00,506,919
2019-01-08 08:00:00,396,1124
2019-01-08 09:00:00,332,1032
2019-01-08 10:00:00,411,835
