datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,180,62
2019-01-01 07:00:00,260,327
2019-01-01 08:00:00,330,341
2019-01-01 09:00:00,407,478
2019-01-01 10:00:00,503,642
2019-01-01 11:00:00,594,1015
2019-01-01 12:00:00,620,1016
2019-01-01 13:00:00,721,922
2019-01-01 14:00:00,697,834
2019-01-01 15:00:00,844,877
2019-01-01 16:00:00,855,871
2019-01-01 17:00:00,754,1029
2019-01-01 18:00:00,680,876
2019-01-01 19:00:00,660,897
2019-01-01 20:00:00,610,914
2019-01-01 21:00:00,391,559
2019-01-01 22:00:00,46,122
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,61,22
2019-01-02 05:00:00,403,639
2019-01-02 06:00:00,814,1497
2019-01-02 07:00:00,988,2109
2019-01-02 08:00:00,949,2090
2019-01-02 09:00:00,953,1705
2019-01-02 10:00:00,1034,1807
2019-01-02 11:00:00,974,1933
2019-01-02 12:00:00,1142,1712
2019-01-02 13:00:00,1115,1690
2019-01-02 14:00:00,1260,1599
2019-01-02 15:00:00,1423,1501
2019-01-02 16:00:00,1601,1501
2019-01-02 17:00:00,1798,1756
2019-01-02 18:00:00,2031,1466
2019-01-02 19:00:00,1531,1702
2019-01-02 20:00:00,1202,1942
2019-01-02 21:00:00,728,1193
2019-01-02 22:00:00,74,149
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,63,10
2019-01-03 05:00:00,506,864
2019-01-03 06:00:00,1173,1735
2019-01-03 07:00:00,1732,2892
2019-01-03 08:00:00,1520,3285
2019-01-03 09:00:00,1357,2684
2019-01-03 10:00:00,1293,2544
2019-01-03 11:00:00,1349,2280
2019-01-03 12:00:00,1411,2182
2019-01-03 13:00:00,1332,1914
2019-01-03 14:00:00,1476,1817
2019-01-03 15:00:00,1658,1861
2019-01-03 16:00:00,1883,1862
2019-01-03 17:00:00,2232,1893
2019-01-03 18:00:00,2500,2060
2019-01-03 19:00:00,1949,1932
2019-01-03 20:00:00,1414,1820
2019-01-03 21:00:00,844,1069
2019-01-03 22:00:00,86,190
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,34,0
2019-01-04 05:00:00,440,594
2019-01-04 06:00:00,1098,1892
2019-01-04 07:00:00,1735,2876
2019-01-04 08:00:00,1503,2954
2019-01-04 09:00:00,1387,2802
2019-01-04 10:00:00,1390,2574
2019-01-04 11:00:00,1279,2495
2019-01-04 12:00:00,1603,2236
2019-01-04 13:00:00,1565,2374
2019-01-04 14:00:00,1615,1914
2019-01-04 15:00:00,1820,2032
2019-01-04 16:00:00,2106,1962
2019-01-04 17:00:00,2504,2114
2019-01-04 18:00:00,2555,2179
2019-01-04 19:00:00,2090,2143
2019-01-04 20:00:00,1628,1806
2019-01-04 21:00:00,925,1324
2019-01-04 22:00:00,177,320
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,31,11
2019-01-05 05:00:00,296,292
2019-01-05 06:00:00,630,1020
2019-01-05 07:00:00,1024,1507
2019-01-05 08:00:00,1092,1826
2019-01-05 09:00:00,1150,1974
2019-01-05 10:00:00,1097,1712
2019-01-05 11:00:00,1226,1748
2019-01-05 12:00:00,1355,2068
2019-01-05 13:00:00,1369,1923
2019-01-05 14:00:00,1365,1665
2019-01-05 15:00:00,1624,1748
2019-01-05 16:00:00,1927,1751
2019-01-05 17:00:00,1755,1741
2019-01-05 18:00:00,1649,1853
2019-01-05 19:00:00,1346,1414
2019-01-05 20:00:00,1076,1112
2019-01-05 21:00:00,605,812
2019-01-05 22:00:00,167,112
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,29,1
2019-01-06 05:00:00,166,202
2019-01-06 06:00:00,346,445
2019-01-06 07:00:00,542,651
2019-01-06 08:00:00,650,959
2019-01-06 09:00:00,815,1384
2019-01-06 10:00:00,839,1239
2019-01-06 11:00:00,846,1415
2019-01-06 12:00:00,926,1473
2019-01-06 13:00:00,1022,1312
2019-01-06 14:00:00,1033,1166
2019-01-06 15:00:00,1161,1338
2019-01-06 16:00:00,1130,1168
2019-01-06 17:00:00,1064,1343
2019-01-06 18:00:00,1102,1383
2019-01-06 19:00:00,1036,1233
2019-01-06 20:00:00,889,1149
2019-01-06 21:00:00,605,734
2019-01-06 22:00:00,33,102
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,87,31
2019-01-07 05:00:00,642,929
2019-01-07 06:00:00,1145,1763
2019-01-07 07:00:00,1702,2840
2019-01-07 08:00:00,1545,3103
2019-01-07 09:00:00,1453,2881
2019-01-07 10:00:00,1351,3319
2019-01-07 11:00:00,1465,2659
2019-01-07 12:00:00,1462,2226
2019-01-07 13:00:00,1446,2050
2019-01-07 14:00:00,1651,2268
2019-01-07 15:00:00,1825,1919
2019-01-07 16:00:00,2156,1845
2019-01-07 17:00:00,2376,2280
2019-01-07 18:00:00,2587,2413
2019-01-07 19:00:00,2101,1995
2019-01-07 20:00:00,1691,2077
2019-01-07 21:00:00,891,1231
