datetime,entry,exit,temp,humidity,rain_1h,rain_3h,weather_main
2018-07-01 00:00:00,0.0,0.0,27.89,84,0.21,0.0,Rain
2018-07-01 01:00:00,0.0,0.0,27.91,84,0.11,0.0,Rain
2018-07-01 02:00:00,0.0,0.0,29.51,72,0.0,1.0,Rain
2018-07-01 03:00:00,0.0,0.0,29.87,72,0.0,1.0,Rain
2018-07-01 04:00:00,11.0,0.0,29.82,72,0.0,1.0,Haze
2018-07-01 05:00:00,558.0,611.0,29.28,66,0.0,0.0,Haze
2018-07-01 06:00:00,982.0,1395.0,29.25,66,0.0,0.0,Haze
2018-07-01 07:00:00,1299.0,2738.0,29.57,66,0.0,0.0,Haze
2018-07-01 08:00:00,1252.0,2704.0,29.25,71,0.0,0.0,Haze
2018-07-01 09:00:00,1360.0,2978.0,29.51,71,0.0,0.0,Haze
2018-07-01 10:00:00,1189.0,2589.0,29.1,71,0.0,0.0,Haze
2018-07-01 11:00:00,1246.0,2081.0,27.93,77,0.0,0.0,Thunderstorm
2018-07-01 12:00:00,1448.0,2114.0,27.94,77,0.11,0.0,Thunderstorm
2018-07-01 13:00:00,1282.0,1971.0,27.92,77,0.12,0.0,Thunderstorm
2018-07-01 14:00:00,1470.0,1908.0,27.36,83,0.0,0.0,Haze
2018-07-01 15:00:00,1580.0,1629.0,27.39,83,0.0,0.0,Haze
2018-07-01 16:00:00,1753.0,1620.0,27.32,83,0.0,0.0,Haze
2018-07-01 17:00:00,2062.0,2128.0,26.72,87,0.0,0.0,Haze
2018-07-01 18:00:00,2270.0,2056.0,26.71,87,0.0,0.0,Haze
2018-07-01 19:00:00,1837.0,2238.0,26.41,87,0.0,0.0,Haze
2018-07-01 20:00:00,1428.0,1721.0,25.93,90,0.0,3.0,Rain
2018-07-01 21:00:00,845.0,1137.0,25.94,90,0.0,3.0,Rain
2018-07-01 22:00:00,97.0,208.0,26.08,90,0.0,3.0,Rain
2018-07-01 23:00:00,0.0,0.0,28.08,78,0.3,0.0,Rain
2018-07-02 00:00:00,0.0,0.0,28.74,78,0.14,0.0,Rain
2018-07-02 01:00:00,0.0,0.0,27.85,78,0.24,0.0,Rain
2018-07-02 02:00:00,0.0,0.0,28.33,79,0.0,5.5,Rain
2018-07-02 03:00:00,0.0,0.0,28.97,79,0.0,5.5,Rain
2018-07-02 04:00:00,30.0,0.0,29.25,79,0.0,5.5,Rain
2018-07-02 05:00:00,504.0,560.0,31.29,60,0.0,0.0,Haze
2018-07-02 06:00:00,1239.0,1186.0,31.05,60,0.0,0.0,Haze
2018-07-02 07:00:00,1672.0,2398.0,30.43,60,0.0,0.0,Haze
2018-07-02 08:00:00,1619.0,2313.0,30.11,68,0.0,0.0,Haze
2018-07-02 09:00:00,1400.0,2396.0,30.18,68,0.0,0.0,Haze
2018-07-02 10:00:00,1412.0,2090.0,29.02,68,0.0,0.0,Haze
2018-07-02 11:00:00,1249.0,2103.0,28.76,78,0.0,0.0,Haze
2018-07-02 12:00:00,1329.0,1971.0,28.79,78,0.0,0.0,Haze
2018-07-02 13:00:00,1314.0,1899.0,28.44,78,0.0,0.0,Haze
2018-07-02 14:00:00,1433.0,1817.0,27.9,81,0.0,0.0,Haze
2018-07-02 15:00:00,1508.0,1710.0,27.62,81,0.0,0.0,Haze
2018-07-02 16:00:00,1636.0,1498.0,27.89,81,0.0,0.0,Haze
2018-07-02 17:00:00,1915.0,2157.0,27.22,84,0.0,0.0,Haze
2018-07-02 18:00:00,1782.0,1985.0,27.23,84,0.0,0.0,Haze
2018-07-02 19:00:00,1486.0,2168.0,27.2,84,0.0,0.0,Haze
2018-07-02 20:00:00,1201.0,2043.0,26.69,88,0.0,6.0,Rain
2018-07-02 21:00:00,824.0,1349.0,26.68,88,0.0,6.0,Rain
2018-07-02 22:00:00,96.0,189.0,26.53,88,0.0,6.0,Rain
2018-07-02 23:00:00,0.0,0.0,28.14,84,0.0,0.0,Haze
2018-07-03 00:00:00,0.0,0.0,28.49,84,0.0,0.0,Haze
2018-07-03 01:00:00,0.0,0.0,28.79,84,0.0,0.0,Haze
2018-07-03 02:00:00,0.0,0.0,30.78,69,0.0,6.0,Haze
2018-07-03 03:00:00,0.0,0.0,30.86,69,0.0,6.0,Haze
2018-07-03 04:00:00,39.0,4.0,30.85,69,0.0,6.0,Haze
2018-07-03 05:00:00,511.0,588.0,30.09,66,0.0,0.0,Haze
2018-07-03 06:00:00,1072.0,1515.0,30.19,66,0.0,0.0,Haze
2018-07-03 07:00:00,1627.0,2651.0,30.04,66,0.0,0.0,Haze
2018-07-03 08:00:00,1637.0,3414.0,29.91,68,0.0,0.0,Haze
2018-07-03 09:00:00,1404.0,2841.0,29.65,68,0.0,0.0,Haze
2018-07-03 10:00:00,1265.0,2180.0,29.0,68,0.0,0.0,Haze
2018-07-03 11:00:00,1320.0,2566.0,28.0,78,0.0,0.0,Haze
2018-07-03 12:00:00,1491.0,1877.0,28.0,78,0.0,0.0,Haze
2018-07-03 13:00:00,1517.0,2161.0,27.98,78,0.0,0.0,Haze
2018-07-03 14:00:00,1468.0,1762.0,27.7,81,0.0,0.0,Haze
2018-07-03 15:00:00,1766.0,1860.0,27.72,81,0.0,0.0,Haze
2018-07-03 16:00:00,1853.0,1707.0,27.66,81,0.0,0.0,Haze
2018-07-03 17:00:00,2131.0,2002.0,26.8,85,0.0,0.0,Haze
2018-07-03 18:00:00,2328.0,2233.0,26.81,85,0.0,0.0,Haze
2018-07-03 19:00:00,2044.0,2093.0,26.83,85,0.0,0.0,Haze
2018-07-03 20:00:00,1613.0,1801.0,26.11,87,0.0,0.0,Haze
2018-07-03 21:00:00,997.0,1706.0,26.38,87,0.0,0.0,Haze
2018-07-03 22:00:00,106.0,253.0,26.27,87,0.0,0.0,Haze
2018-07-03 23:00:00,0.0,0.0,27.77,78,0.0,0.0,Haze
2018-07-04 00:00:00,0.0,0.0,28.43,78,0.0,0.0,Haze
2018-07-04 01:00:00,0.0,0.0,28.48,78,0.0,0.0,Haze
2018-07-04 02:00:00,0.0,0.0,29.55,62,0.0,4.0,Rain
