date,time,entry,exit
2019-01-01,04:00 - 04:59,0,0
2019-01-01,05:00 - 05:59,0,0
2019-01-01,06:00 - 06:59,392,99
2019-01-01,07:00 - 07:59,651,760
2019-01-01,08:00 - 08:59,776,602
2019-01-01,09:00 - 09:59,997,1063
2019-01-01,10:00 - 10:59,1505,1067
2019-01-01,11:00 - 11:59,1761,1500
2019-01-01,12:00 - 12:59,1716,1695
2019-01-01,13:00 - 13:59,1726,1903
2019-01-01,14:00 - 14:59,1959,2084
2019-01-01,15:00 - 15:59,1928,2183
2019-01-01,16:00 - 16:59,2008,2017
2019-01-01,17:00 - 17:59,1882,2364
2019-01-01,18:00 - 18:59,1926,1910
2019-01-01,19:00 - 19:59,1645,1710
2019-01-01,20:00 - 20:59,1669,1503
2019-01-01,21:00 - 21:59,1119,1267
2019-01-01,22:00 - 22:59,0,18
2019-01-01,23:00 - 23:59,0,0
2019-01-02,04:00 - 04:59,0,0
2019-01-02,05:00 - 05:59,1157,635
2019-01-02,06:00 - 06:59,2298,1402
2019-01-02,07:00 - 07:59,3519,1779
2019-01-02,08:00 - 08:59,3059,1752
2019-01-02,09:00 - 09:59,2638,1673
2019-01-02,10:00 - 10:59,2829,2203
2019-01-02,11:00 - 11:59,2641,2164
2019-01-02,12:00 - 12:59,2788,2684
2019-01-02,13:00 - 13:59,2950,2926
2019-01-02,14:00 - 14:59,2782,2723
2019-01-02,15:00 - 15:59,3062,3295
2019-01-02,16:00 - 16:59,3487,3175
2019-01-02,17:00 - 17:59,3662,3117
2019-01-02,18:00 - 18:59,3397,3393
2019-01-02,19:00 - 19:59,3006,3957
2019-01-02,20:00 - 20:59,2544,2843
2019-01-02,21:00 - 21:59,1730,2097
2019-01-02,22:00 - 22:59,0,8
2019-01-02,23:00 - 23:59,0,0
2019-01-03,04:00 - 04:59,0,0
2019-01-03,05:00 - 05:59,1421,853
2019-01-03,06:00 - 06:59,3105,1595
2019-01-03,07:00 - 07:59,4836,2550
2019-01-03,08:00 - 08:59,4488,2397
2019-01-03,09:00 - 09:59,3753,2303
2019-01-03,10:00 - 10:59,3356,2364
2019-01-03,11:00 - 11:59,3173,2279
2019-01-03,12:00 - 12:59,3310,2893
2019-01-03,13:00 - 13:59,2875,2413
2019-01-03,14:00 - 14:59,3158,2894
2019-01-03,15:00 - 15:59,3021,2909
2019-01-03,16:00 - 16:59,3604,3308
2019-01-03,17:00 - 17:59,4009,3841
2019-01-03,18:00 - 18:59,3572,4715
2019-01-03,19:00 - 19:59,2918,4254
2019-01-03,20:00 - 20:59,2297,3134
2019-01-03,21:00 - 21:59,1548,2220
2019-01-03,22:00 - 22:59,0,90
2019-01-03,23:00 - 23:59,0,0
2019-01-04,04:00 - 04:59,0,0
2019-01-04,05:00 - 05:59,1245,576
2019-01-04,06:00 - 06:59,2869,1529
2019-01-04,07:00 - 07:59,4721,2400
2019-01-04,08:00 - 08:59,4090,2529
2019-01-04,09:00 - 09:59,3815,2204
2019-01-04,10:00 - 10:59,3222,2413
2019-01-04,11:00 - 11:59,3556,2815
2019-01-04,12:00 - 12:59,3330,2805
2019-01-04,13:00 - 13:59,3386,2670
2019-01-04,14:00 - 14:59,3538,3029
2019-01-04,15:00 - 15:59,3279,3223
2019-01-04,16:00 - 16:59,4142,3865
2019-01-04,17:00 - 17:59,4284,4240
2019-01-04,18:00 - 18:59,3969,4899
2019-01-04,19:00 - 19:59,3101,4595
2019-01-04,20:00 - 20:59,2580,3645
2019-01-04,21:00 - 21:59,1961,2538
2019-01-04,22:00 - 22:59,130,346
2019-01-04,23:00 - 23:59,0,0
2019-01-05,04:00 - 04:59,0,0
2019-01-05,05:00 - 05:59,740,430
2019-01-05,06:00 - 06:59,1651,1226
2019-01-05,07:00 - 07:59,2285,1777
2019-01-05,08:00 - 08:59,2448,2015
2019-01-05,09:00 - 09:59,2480,2002
2019-01-05,10:00 - 10:59,2320,2060
2019-01-05,11:00 - 11:59,2799,2461
2019-01-05,12:00 - 12:59,3000,2438
2019-01-05,13:00 - 13:59,2728,2661
2019-01-05,14:00 - 14:59,2825,2748
2019-01-05,15:00 - 15:59,3064,3009
2019-01-05,16:00 - 16:59,3515,2958
2019-01-05,17:00 - 17:59,3318,3243
2019-01-05,18:00 - 18:59,2832,3623
2019-01-05,19:00 - 19:59,2377,2833
2019-01-05,20:00 - 20:59,1832,2230
2019-01-05,21:00 - 21:59,1214,1657
2019-01-05,22:00 - 22:59,38,196
2019-01-05,23:00 - 23:59,0,0
2019-01-06,04:00 - 04:59,0,0
2019-01-06,05:00 - 05:59,459,268
2019-01-06,06:00 - 06:59,946,826
2019-01-06,07:00 - 07:59,1249,1247
2019-01-06,08:00 - 08:59,1721,1426
2019-01-06,09:00 - 09:59,1940,1682
2019-01-06,10:00 - 10:59,2070,1831
2019-01-06,11:00 - 11:59,2327,1831
2019-01-06,12:00 - 12:59,2327,2218
2019-01-06,13:00 - 13:59,2289,2155
2019-01-06,14:00 - 14:59,2325,2371
2019-01-06,15:00 - 15:59,2521,2260
2019-01-06,16:00 - 16:59,2616,2337
2019-01-06,17:00 - 17:59,2600,2232
2019-01-06,18:00 - 18:59,2254,2279
2019-01-06,19:00 - 19:59,1990,2274
2019-01-06,20:00 - 20:59,1588,2087
2019-01-06,21:00 - 21:59,1126,1730
2019-01-06,22:00 - 22:59,0,17
2019-01-06,23:00 - 23:59,0,0
2019-01-07,04:00 - 04:59,0,0
2019-01-07,05:00 - 05:59,1676,707
2019-01-07,06:00 - 06:59,3479,1810
2019-01-07,07:00 - 07:59,5051,2124
2019-01-07,08:00 - 08:59,4844,2352
2019-01-07,09:00 - 09:59,4642,2177
2019-01-07,10:00 - 10:59,3863,2519
2019-01-07,11:00 - 11:59,3604,2628
2019-01-07,12:00 - 12:59,3347,2541
2019-01-07,13:00 - 13:59,3277,2962
2019-01-07,14:00 - 14:59,3422,3259
2019-01-07,15:00 - 15:59,3420,3419
2019-01-07,16:00 - 16:59,3985,3217
2019-01-07,17:00 - 17:59,4554,4488
2019-01-07,18:00 - 18:59,3739,4865
2019-01-07,19:00 - 19:59,3572,5048
2019-01-07,20:00 - 20:59,2655,3396
2019-01-07,21:00 - 21:59,1694,2594
2019-01-07,22:00 - 22:59,16,101
2019-01-07,23:00 - 23:59,0,0
2019-01-08,04:00 - 04:59,0,0
2019-01-08,05:00 - 05:59,1473,689
2019-01-08,06:00 - 06:59,3111,1835
2019-01-08,07:00 - 07:59,5322,2450
2019-01-08,08:00 - 08:59,4948,2946
2019-01-08,09:00 - 09:59,4343,2806
2019-01-08,10:00 - 10:59,3463,2593
2019-01-08,11:00 - 11:59,3342,2769
2019-01-08,12:00 - 12:59,3232,3298
2019-01-08,13:00 - 13:59,3277,2804
2019-01-08,14:00 - 14:59,3298,3113
2019-01-08,15:00 - 15:59,3387,3411
2019-01-08,16:00 - 16:59,4097,3886
2019-01-08,17:00 - 17:59,4358,3867
2019-01-08,18:00 - 18:59,3776,5317
2019-01-08,19:00 - 19:59,3387,3916
2019-01-08,20:00 - 20:59,2672,4813
2019-01-08,21:00 - 21:59,1993,2557
2019-01-08,22:00 - 22:59,3,5
2019-01-08,23:00 - 23:59,0,0
2019-01-09,04:00 - 04:59,0,0
2019-01-09,05:00 - 05:59,1330,763
2019-01-09,06:00 - 06:59,3586,1997
2019-01-09,07:00 - 07:59,5526,2370
2019-01-09,08:00 - 08:59,4784,2661
2019-01-09,09:00 - 09:59,4247,2411
2019-01-09,10:00 - 10:59,3324,2440
2019-01-09,11:00 - 11:59,3320,2865
2019-01-09,12:00 - 12:59,3434,2850
2019-01-09,13:00 - 13:59,3221,2824
2019-01-09,14:00 - 14:59,3236,3023
2019-01-09,15:00 - 15:59,3533,3219
2019-01-09,16:00 - 16:59,3964,3936
2019-01-09,17:00 - 17:59,4121,4063
2019-01-09,18:00 - 18:59,3877,5432
2019-01-09,19:00 - 19:59,3144,4706
2019-01-09,20:00 - 20:59,2578,3553
2019-01-09,21:00 - 21:59,1819,2669
2019-01-09,22:00 - 22:59,38,61
2019-01-09,23:00 - 23:59,0,14
2019-01-10,04:00 - 04:59,0,0
2019-01-10,05:00 - 05:59,1393,761
2019-01-10,06:00 - 06:59,3166,1767
2019-01-10,07:00 - 07:59,5029,2707
2019-01-10,08:00 - 08:59,4528,2305
2019-01-10,09:00 - 09:59,3955,2212
2019-01-10,10:00 - 10:59,3474,2755
2019-01-10,11:00 - 11:59,3263,2573
2019-01-10,12:00 - 12:59,3101,2910
2019-01-10,13:00 - 13:59,3252,2563
2019-01-10,14:00 - 14:59,3324,2952
2019-01-10,15:00 - 15:59,3389,3338
2019-01-10,16:00 - 16:59,4215,3447
2019-01-10,17:00 - 17:59,4211,4818
2019-01-10,18:00 - 18:59,3972,4360
2019-01-10,19:00 - 19:59,3277,4886
2019-01-10,20:00 - 20:59,2662,3095
2019-01-10,21:00 - 21:59,1929,2856
2019-01-10,22:00 - 22:59,98,204
2019-01-10,23:00 - 23:59,0,14
2019-01-11,04:00 - 04:59,0,0
2019-01-11,05:00 - 05:59,1265,708
2019-01-11,06:00 - 06:59,3182,1704
2019-01-11,07:00 - 07:59,4642,2249
2019-01-11,08:00 - 08:59,4853,2684
2019-01-11,09:00 - 09:59,4163,2821
2019-01-11,10:00 - 10:59,3590,2494
2019-01-11,11:00 - 11:59,3348,2875
2019-01-11,12:00 - 12:59,3526,2874
2019-01-11,13:00 - 13:59,3551,2817
2019-01-11,14:00 - 14:59,3680,3336
2019-01-11,15:00 - 15:59,3705,3176
2019-01-11,16:00 - 16:59,4583,4010
2019-01-11,17:00 - 17:59,4677,4229
2019-01-11,18:00 - 18:59,3867,5099
2019-01-11,19:00 - 19:59,3931,5851
2019-01-11,20:00 - 20:59,3117,3059
2019-01-11,21:00 - 21:59,2110,3600
2019-01-11,22:00 - 22:59,90,183
2019-01-11,23:00 - 23:59,0,0
2019-01-12,04:00 - 04:59,0,0
2019-01-12,05:00 - 05:59,766,501
2019-01-12,06:00 - 06:59,1725,1385
2019-01-12,07:00 - 07:59,2602,2065
2019-01-12,08:00 - 08:59,2754,2105
2019-01-12,09:00 - 09:59,2753,2133
2019-01-12,10:00 - 10:59,2487,2282
2019-01-12,11:00 - 11:59,2792,2309
2019-01-12,12:00 - 12:59,3141,2686
2019-01-12,13:00 - 13:59,2997,2779
2019-01-12,14:00 - 14:59,2864,2855
2019-01-12,15:00 - 15:59,3307,3064
2019-01-12,16:00 - 16:59,3811,3233
2019-01-12,17:00 - 17:59,3916,3638
2019-01-12,18:00 - 18:59,3171,3874
2019-01-12,19:00 - 19:59,2456,2574
2019-01-12,20:00 - 20:59,1977,2405
