datetime,entry,exit
2019-01-01 04:00:00,0,0
2019-01-01 05:00:00,0,0
2019-01-01 06:00:00,392,99
2019-01-01 07:00:00,651,760
2019-01-01 08:00:00,776,602
2019-01-01 09:00:00,997,1063
2019-01-01 10:00:00,1505,1067
2019-01-01 11:00:00,1761,1500
2019-01-01 12:00:00,1716,1695
2019-01-01 13:00:00,1726,1903
2019-01-01 14:00:00,1959,2084
2019-01-01 15:00:00,1928,2183
2019-01-01 16:00:00,2008,2017
2019-01-01 17:00:00,1882,2364
2019-01-01 18:00:00,1926,1910
2019-01-01 19:00:00,1645,1710
2019-01-01 20:00:00,1669,1503
2019-01-01 21:00:00,1119,1267
2019-01-01 22:00:00,0,18
2019-01-01 23:00:00,0,0
2019-01-02 04:00:00,0,0
2019-01-02 05:00:00,1157,635
2019-01-02 06:00:00,2298,1402
2019-01-02 07:00:00,3519,1779
2019-01-02 08:00:00,3059,1752
2019-01-02 09:00:00,2638,1673
2019-01-02 10:00:00,2829,2203
2019-01-02 11:00:00,2641,2164
2019-01-02 12:00:00,2788,2684
2019-01-02 13:00:00,2950,2926
2019-01-02 14:00:00,2782,2723
2019-01-02 15:00:00,3062,3295
2019-01-02 16:00:00,3487,3175
2019-01-02 17:00:00,3662,3117
2019-01-02 18:00:00,3397,3393
2019-01-02 19:00:00,3006,3957
2019-01-02 20:00:00,2544,2843
2019-01-02 21:00:00,1730,2097
2019-01-02 22:00:00,0,8
2019-01-02 23:00:00,0,0
2019-01-03 04:00:00,0,0
2019-01-03 05:00:00,1421,853
2019-01-03 06:00:00,3105,1595
2019-01-03 07:00:00,4836,2550
2019-01-03 08:00:00,4488,2397
2019-01-03 09:00:00,3753,2303
2019-01-03 10:00:00,3356,2364
2019-01-03 11:00:00,3173,2279
2019-01-03 12:00:00,3310,2893
2019-01-03 13:00:00,2875,2413
2019-01-03 14:00:00,3158,2894
2019-01-03 15:00:00,3021,2909
2019-01-03 16:00:00,3604,3308
2019-01-03 17:00:00,4009,3841
2019-01-03 18:00:00,3572,4715
2019-01-03 19:00:00,2918,4254
2019-01-03 20:00:00,2297,3134
2019-01-03 21:00:00,1548,2220
2019-01-03 22:00:00,0,90
2019-01-03 23:00:00,0,0
2019-01-04 04:00:00,0,0
2019-01-04 05:00:00,1245,576
2019-01-04 06:00:00,2869,1529
2019-01-04 07:00:00,4721,2400
2019-01-04 08:00:00,4090,2529
2019-01-04 09:00:00,3815,2204
2019-01-04 10:00:00,3222,2413
2019-01-04 11:00:00,3556,2815
2019-01-04 12:00:00,3330,2805
2019-01-04 13:00:00,3386,2670
2019-01-04 14:00:00,3538,3029
2019-01-04 15:00:00,3279,3223
2019-01-04 16:00:00,4142,3865
2019-01-04 17:00:00,4284,4240
2019-01-04 18:00:00,3969,4899
2019-01-04 19:00:00,3101,4595
2019-01-04 20:00:00,2580,3645
2019-01-04 21:00:00,1961,2538
2019-01-04 22:00:00,130,346
2019-01-04 23:00:00,0,0
2019-01-05 04:00:00,0,0
2019-01-05 05:00:00,740,430
2019-01-05 06:00:00,1651,1226
2019-01-05 07:00:00,2285,1777
2019-01-05 08:00:00,2448,2015
2019-01-05 09:00:00,2480,2002
2019-01-05 10:00:00,2320,2060
2019-01-05 11:00:00,2799,2461
2019-01-05 12:00:00,3000,2438
2019-01-05 13:00:00,2728,2661
2019-01-05 14:00:00,2825,2748
2019-01-05 15:00:00,3064,3009
2019-01-05 16:00:00,3515,2958
2019-01-05 17:00:00,3318,3243
2019-01-05 18:00:00,2832,3623
2019-01-05 19:00:00,2377,2833
2019-01-05 20:00:00,1832,2230
2019-01-05 21:00:00,1214,1657
2019-01-05 22:00:00,38,196
2019-01-05 23:00:00,0,0
2019-01-06 04:00:00,0,0
2019-01-06 05:00:00,459,268
2019-01-06 06:00:00,946,826
2019-01-06 07:00:00,1249,1247
2019-01-06 08:00:00,1721,1426
2019-01-06 09:00:00,1940,1682
2019-01-06 10:00:00,2070,1831
2019-01-06 11:00:00,2327,1831
2019-01-06 12:00:00,2327,2218
2019-01-06 13:00:00,2289,2155
2019-01-06 14:00:00,2325,2371
2019-01-06 15:00:00,2521,2260
2019-01-06 16:00:00,2616,2337
2019-01-06 17:00:00,2600,2232
2019-01-06 18:00:00,2254,2279
2019-01-06 19:00:00,1990,2274
2019-01-06 20:00:00,1588,2087
2019-01-06 21:00:00,1126,1730
2019-01-06 22:00:00,0,17
2019-01-06 23:00:00,0,0
2019-01-07 04:00:00,0,0
2019-01-07 05:00:00,1676,707
2019-01-07 06:00:00,3479,1810
2019-01-07 07:00:00,5051,2124
2019-01-07 08:00:00,4844,2352
2019-01-07 09:00:00,4642,2177
2019-01-07 10:00:00,3863,2519
2019-01-07 11:00:00,3604,2628
2019-01-07 12:00:00,3347,2541
2019-01-07 13:00:00,3277,2962
2019-01-07 14:00:00,3422,3259
2019-01-07 15:00:00,3420,3419
2019-01-07 16:00:00,3985,3217
2019-01-07 17:00:00,4554,4488
2019-01-07 18:00:00,3739,4865
