num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway,entry,exit,temp,humidity,rain_1h,rain_3h
12.0,13.0,0.0,0.0,8.5,2410.0,3426.0,26.41,87,0.0,0.0
8.0,8.0,0.0,0.0,8.0,2752.0,2.0,31.29,60,0.0,0.0
7.0,7.0,0.0,0.0,8.0,2773.0,0.0,30.09,66,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2678.0,4303.0,27.23,84,0.0,0.0
9.0,9.0,0.0,0.0,8.0,3013.0,3.0,31.24,60,0.0,0.0
14.0,14.0,0.0,0.0,7.5,2201.0,2180.0,26.11,87,0.0,0.0
14.0,14.0,0.0,0.0,7.5,4676.0,429.0,31.0,59,0.0,0.0
8.0,8.0,0.0,0.0,8.0,2868.0,0.0,30.99,59,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2915.0,1006.0,29.65,62,0.0,0.0
8.0,8.0,0.0,0.0,8.0,1437.0,0.0,30.69,62,0.0,0.0
15.0,16.0,0.0,0.0,7.0,248.0,1390.0,26.69,89,0.0,0.0
12.0,13.0,0.0,0.0,8.5,984.0,232.0,29.14,67,0.0,0.0
12.0,14.0,0.0,0.0,8.5,2194.0,1643.0,26.53,91,0.63,0.0
12.0,14.0,0.0,0.0,8.5,2390.0,2610.0,26.18,94,0.0,0.0
8.0,8.0,0.0,0.0,8.0,2704.0,0.0,29.15,66,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2170.0,2581.0,25.17,87,0.0,13.0
15.0,16.0,0.0,0.0,7.0,2954.0,1156.0,27.42,81,0.0,0.0
7.0,7.0,0.0,0.0,8.0,2884.0,2.0,28.77,76,1.35,0.0
15.0,15.0,0.0,0.0,7.0,2084.0,2411.0,25.97,93,0.0,0.0
9.0,9.0,0.0,0.0,8.0,2886.0,0.0,27.9,75,0.0,0.0
15.0,16.0,0.0,0.0,7.0,3430.0,1237.0,26.77,77,0.0,0.0
8.0,8.0,0.0,0.0,8.0,1387.0,4.0,28.43,78,0.58,0.0
15.0,16.0,0.0,0.0,7.0,2186.0,2761.0,25.79,89,0.0,0.0
12.0,15.0,0.0,0.0,8.5,2089.0,1745.0,26.68,89,0.0,3.0
15.0,15.0,0.0,0.0,7.0,5752.0,423.0,28.45,84,1.61,0.0
9.0,9.0,0.0,0.0,8.0,2372.0,3.0,28.39,84,1.22,0.0
15.0,16.0,0.0,0.0,7.0,2091.0,3546.0,25.42,92,0.0,17.5
8.0,8.0,0.0,0.0,8.0,2841.0,0.0,26.09,95,0.0,0.0
15.0,16.0,0.0,0.0,8.0,2650.0,4154.0,25.21,95,0.89,0.0
8.0,8.0,0.0,0.0,8.0,2282.0,1.0,29.26,78,0.0,0.0
15.0,15.0,0.0,0.0,7.0,5085.0,1082.0,28.53,80,0.0,0.8
9.0,9.0,0.0,0.0,8.0,2736.0,2.0,29.32,79,0.0,0.0
15.0,15.0,0.0,0.0,7.0,2416.0,499.0,28.74,86,0.0,0.0
8.0,8.0,0.0,0.0,8.0,1286.0,0.0,29.0,86,0.0,0.0
15.0,15.0,0.0,0.0,7.0,3217.0,1042.0,26.55,93,0.0,23.5
12.0,13.0,0.0,0.0,8.5,2236.0,1604.0,26.66,90,0.88,0.0
8.0,8.0,0.0,0.0,9.0,3506.0,0.0,26.21,100,0.21,0.0
8.0,8.0,0.0,0.0,8.0,2781.0,2.0,27.28,85,0.0,0.0
15.0,15.0,0.0,0.0,7.0,5707.0,618.0,27.64,85,0.0,0.0
15.0,16.0,0.0,0.0,7.0,2577.0,3678.0,25.8,97,0.0,0.0
15.0,15.0,0.0,0.0,7.0,4687.0,505.0,28.19,71,0.0,0.0
