datetime,temp,humidity,rain_1h,rain_3h,weather_main
2018-07-01 00:00:00,27.89,84,0.21,,Rain
2018-07-01 01:00:00,27.91,84,0.11,,Rain
2018-07-01 02:00:00,29.51,72,,1.0,Rain
2018-07-01 03:00:00,29.87,72,,1.0,Rain
2018-07-01 04:00:00,29.82,72,,1.0,Haze
2018-07-01 05:00:00,29.28,66,,,Haze
2018-07-01 06:00:00,29.25,66,,,Haze
2018-07-01 07:00:00,29.57,66,,,Haze
2018-07-01 08:00:00,29.25,71,,,Haze
2018-07-01 09:00:00,29.51,71,,,Haze
2018-07-01 10:00:00,29.1,71,,,Haze
2018-07-01 11:00:00,27.93,77,,,Thunderstorm
2018-07-01 12:00:00,27.94,77,0.11,,Thunderstorm
2018-07-01 13:00:00,27.92,77,0.12,,Thunderstorm
2018-07-01 14:00:00,27.36,83,,,Haze
2018-07-01 15:00:00,27.39,83,,,Haze
2018-07-01 16:00:00,27.32,83,,,Haze
2018-07-01 17:00:00,26.72,87,,,Haze
2018-07-01 18:00:00,26.71,87,,,Haze
2018-07-01 19:00:00,26.41,87,,,Haze
2018-07-01 20:00:00,25.93,90,,3.0,Rain
2018-07-01 21:00:00,25.94,90,,3.0,Rain
2018-07-01 22:00:00,26.08,90,,3.0,Rain
2018-07-01 23:00:00,28.08,78,0.3,,Rain
2018-07-02 00:00:00,28.74,78,0.14,,Rain
2018-07-02 01:00:00,27.85,78,0.24,,Rain
2018-07-02 02:00:00,28.33,79,,5.5,Rain
2018-07-02 03:00:00,28.97,79,,5.5,Rain
2018-07-02 04:00:00,29.25,79,,5.5,Rain
2018-07-02 05:00:00,31.29,60,,,Haze
2018-07-02 06:00:00,31.05,60,,,Haze
2018-07-02 07:00:00,30.43,60,,,Haze
2018-07-02 08:00:00,30.11,68,,,Haze
2018-07-02 09:00:00,30.18,68,,,Haze
2018-07-02 10:00:00,29.02,68,,,Haze
2018-07-02 11:00:00,28.76,78,,,Haze
2018-07-02 12:00:00,28.79,78,,,Haze
2018-07-02 13:00:00,28.44,78,,,Haze
2018-07-02 14:00:00,27.9,81,,,Haze
2018-07-02 15:00:00,27.62,81,,,Haze
2018-07-02 16:00:00,27.89,81,,,Haze
2018-07-02 17:00:00,27.22,84,,,Haze
2018-07-02 18:00:00,27.23,84,,,Haze
2018-07-02 19:00:00,27.2,84,,,Haze
2018-07-02 20:00:00,26.69,88,,6.0,Rain
2018-07-02 21:00:00,26.68,88,,6.0,Rain
2018-07-02 22:00:00,26.53,88,,6.0,Rain
2018-07-02 23:00:00,28.14,84,,,Haze
2018-07-03 00:00:00,28.49,84,,,Haze
2018-07-03 01:00:00,28.79,84,,,Haze
2018-07-03 02:00:00,30.78,69,,6.0,Haze
2018-07-03 03:00:00,30.86,69,,6.0,Haze
2018-07-03 04:00:00,30.85,69,,6.0,Haze
2018-07-03 05:00:00,30.09,66,,,Haze
2018-07-03 06:00:00,30.19,66,,,Haze
2018-07-03 07:00:00,30.04,66,,,Haze
2018-07-03 08:00:00,29.91,68,,,Haze
2018-07-03 09:00:00,29.65,68,,,Haze
2018-07-03 10:00:00,29.0,68,,,Haze
2018-07-03 11:00:00,28.0,78,,,Haze
2018-07-03 12:00:00,28.0,78,,,Haze
2018-07-03 13:00:00,27.98,78,,,Haze
2018-07-03 14:00:00,27.7,81,,,Haze
2018-07-03 15:00:00,27.72,81,,,Haze
2018-07-03 16:00:00,27.66,81,,,Haze
2018-07-03 17:00:00,26.8,85,,,Haze
2018-07-03 18:00:00,26.81,85,,,Haze
2018-07-03 19:00:00,26.83,85,,,Haze
2018-07-03 20:00:00,26.11,87,,,Haze
2018-07-03 21:00:00,26.38,87,,,Haze
2018-07-03 22:00:00,26.27,87,,,Haze
2018-07-03 23:00:00,27.77,78,,,Haze
2018-07-04 00:00:00,28.43,78,,,Haze
2018-07-04 01:00:00,28.48,78,,,Haze
2018-07-04 02:00:00,29.55,62,,4.0,Rain
2018-07-04 03:00:00,30.07,62,,4.0,Rain
2018-07-04 04:00:00,29.81,62,,4.0,Rain
2018-07-04 05:00:00,31.24,60,,,Haze
2018-07-04 06:00:00,31.34,60,,,Haze
2018-07-04 07:00:00,30.66,60,,,Haze
2018-07-04 08:00:00,29.81,70,,,Haze
2018-07-04 09:00:00,29.61,70,,,Haze
2018-07-04 10:00:00,29.24,70,,,Haze
2018-07-04 11:00:00,28.32,73,,,Haze
2018-07-04 12:00:00,28.36,73,,,Haze
2018-07-04 13:00:00,28.31,73,,,Haze
